sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfameter,Sulfonamides,2.3,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Sulfamethoxazole,Sulfonamides,0.33,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Tetracycline,Tetracyclines,1.2,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,11,107.00618,33.05715,Trimethoprim,Diaminopyrimidines,3.8,ng/g,2014,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Chlortetracycline,Tetracyclines,3.5,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Ciprofloxacin,Fluoroquinolones,0.98,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Doxycycline,Tetracyclines,3.5,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Enrofloxacin,Fluoroquinolones,1.2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Norfloxacin,Fluoroquinolones,2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Ofloxacin,Fluoroquinolones,1.2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Oxytetracycline,Tetracyclines,0.97,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfadiazine,Sulfonamides,0.34,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfadimidine,Sulfonamides,0.2,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfameter,Sulfonamides,2.7,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Sulfamethoxazole,Sulfonamides,0.18,ng/g,2015,128
sediment,Shaanxi,Shaanxi Hanjiang river,6,107.00618,33.05715,Tetracycline,Tetracyclines,1.7,ng/g,2015,128
