sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
soil,Chongqing,Chongqing,4,106.55,29.583333,Oxytetracycline,Tetracyclines,18.92,ng/g,2019,66
soil,Chongqing,Chongqing,4,106.55,29.583333,Tetracycline,Tetracyclines,39.1,ng/g,2019,66
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Chlortetracycline,Tetracyclines,20.47,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Doxycycline,Tetracyclines,0.3,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Enrofloxacin,Fluoroquinolones,43.25,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Norfloxacin,Fluoroquinolones,3.85,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Ofloxacin,Fluoroquinolones,28.83,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Oxytetracycline,Tetracyclines,6.64,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Sulfadiazine,Sulfonamides,4.09,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Sulfadimidine,Sulfonamides,20.38,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Sulfameter,Sulfonamides,38.98,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Tetracycline,Tetracyclines,25.87,ng/g,2015,149
soil,Chongqing,Chongqing Three Gorges reservoir,8,107,29.75,Trimethoprim,Diaminopyrimidines,15.33,ng/g,2015,149
soil,Fujian,Fujian Fuzhou,NA,119.296494,26.074507,Chlortetracycline,Tetracyclines,58.8,ng/g,2011,192
soil,Fujian,Fujian Fuzhou,NA,119.296494,26.074507,Ciprofloxacin,Fluoroquinolones,128.4,ng/g,2011,192
soil,Fujian,Fujian Fuzhou,NA,119.296494,26.074507,Enrofloxacin,Fluoroquinolones,322.7,ng/g,2011,192
soil,Fujian,Fujian Fuzhou,NA,119.296494,26.074507,Ofloxacin,Fluoroquinolones,23.1,ng/g,2011,192
soil,Fujian,Fujian Fuzhou,NA,119.296494,26.074507,Oxytetracycline,Tetracyclines,45.4,ng/g,2011,192
soil,Fujian,Fujian Putian,NA,119.007777,25.454084,Chlortetracycline,Tetracyclines,2668.9,ng/g,2011,192
soil,Fujian,Fujian Putian,NA,119.007777,25.454084,Ciprofloxacin,Fluoroquinolones,138.3,ng/g,2011,192
soil,Fujian,Fujian Putian,NA,119.007777,25.454084,Enrofloxacin,Fluoroquinolones,235,ng/g,2011,192
soil,Fujian,Fujian Putian,NA,119.007777,25.454084,Ofloxacin,Fluoroquinolones,205.7,ng/g,2011,192
soil,Fujian,Fujian Putian,NA,119.007777,25.454084,Oxytetracycline,Tetracyclines,310.20000000000005,ng/g,2011,192
soil,Fujian,Fujian Putian,NA,119.007777,25.454084,Tetracycline,Tetracyclines,189.8,ng/g,2011,192
soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,Chlortetracycline,Tetracyclines,864,ng/g,2011,192
soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,Ciprofloxacin,Fluoroquinolones,35.5,ng/g,2011,192
soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,Enrofloxacin,Fluoroquinolones,34.800000000000004,ng/g,2011,192
soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,Ofloxacin,Fluoroquinolones,13.9,ng/g,2011,192
soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,Oxytetracycline,Tetracyclines,15.7,ng/g,2011,192
soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,Tetracycline,Tetracyclines,45.4,ng/g,2011,192
soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,Chlortetracycline,Tetracyclines,240,ng/g,2011,192
soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,Ciprofloxacin,Fluoroquinolones,69.6,ng/g,2011,192
soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,Enrofloxacin,Fluoroquinolones,68.45,ng/g,2011,192
soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,Ofloxacin,Fluoroquinolones,41.8,ng/g,2011,192
soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,Oxytetracycline,Tetracyclines,131.9,ng/g,2011,192
soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,Tetracycline,Tetracyclines,58.1,ng/g,2011,192
soil,Guangdong,Guangdong,11,113.26653,23.132191,Ciprofloxacin,Fluoroquinolones,3.91,ng/g,2011,213
soil,Guangdong,Guangdong,11,113.26653,23.132191,Enrofloxacin,Fluoroquinolones,5.12,ng/g,2011,213
soil,Guangdong,Guangdong,11,113.26653,23.132191,Lomefloxacin,Fluoroquinolones,1.32,ng/g,2011,213
soil,Guangdong,Guangdong,11,113.26653,23.132191,Norfloxacin,Fluoroquinolones,3.61,ng/g,2011,213
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Chlortetracycline,Tetracyclines,31.1,ng/g,NA,133
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Oxytetracycline,Tetracyclines,9.6,ng/g,NA,133
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfadiazine,Sulfonamides,5.5,ng/g,NA,133
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfadimethoxine,Sulfonamides,4.9,ng/g,NA,133
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfadimidine,Sulfonamides,19.75,ng/g,NA,133
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfamerazine,Sulfonamides,13.4,ng/g,NA,133
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfameter,Sulfonamides,51.4,ng/g,NA,133
soil,Guangdong,Guangdong,NA,113.26653,23.132191,Tetracycline,Tetracyclines,44.1,ng/g,NA,133
soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,Chloramphenicol,Phenicols,22.3,ng/g,2013,209
soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,Erythromycin,Macrolides,3.4,ng/g,2013,209
soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,Norfloxacin,Fluoroquinolones,66.7,ng/g,2013,209
soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,Sulfadimidine,Sulfonamides,4.2,ng/g,2013,209
soil,Guangdong,Guangdong Dongguan,7,113.751765,23.020536,Tetracycline,Tetracyclines,21.9,ng/g,2013,209
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Chlortetracycline,Tetracyclines,5.13,ng/g,NA,18
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Ciprofloxacin,Fluoroquinolones,24.93,ng/g,NA,19
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Doxycycline,Tetracyclines,5.45,ng/g,NA,18
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Enrofloxacin,Fluoroquinolones,19.85,ng/g,NA,19
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Lomefloxacin,Fluoroquinolones,0.67,ng/g,NA,19
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Norfloxacin,Fluoroquinolones,4.8,ng/g,NA,19
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Oxytetracycline,Tetracyclines,8.95,ng/g,NA,18
soil,Guangdong,Guangdong Dongguan,NA,113.751765,23.020536,Tetracycline,Tetracyclines,1.32,ng/g,NA,18
soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,Chloramphenicol,Phenicols,10.1,ng/g,2013,209
soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,Erythromycin,Macrolides,4.4,ng/g,2013,209
soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,Norfloxacin,Fluoroquinolones,36.8,ng/g,2013,209
soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,Sulfadimidine,Sulfonamides,3.8,ng/g,2013,209
soil,Guangdong,Guangdong Foshan,7,113.121416,23.021548,Tetracycline,Tetracyclines,17.1,ng/g,2013,209
soil,Guangdong,Guangdong Ganzhou,7,113.258333,23.183333,Chlortetracycline,Tetracyclines,8.92,ng/g,2015,115
soil,Guangdong,Guangdong Ganzhou,7,113.258333,23.183333,Oxytetracycline,Tetracyclines,38.39,ng/g,2015,115
soil,Guangdong,Guangdong Ganzhou,7,113.258333,23.183333,Tetracycline,Tetracyclines,5.64,ng/g,2015,115
soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,Chlortetracycline,Tetracyclines,14.5,ng/g,2011,92
soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,Doxycycline,Tetracyclines,21.87,ng/g,2011,92
soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,Oxytetracycline,Tetracyclines,2.38,ng/g,2011,92
soil,Guangdong,Guangdong Guangzhou,1,113.384129,22.937244,Tetracycline,Tetracyclines,2.67,ng/g,2011,92
soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,Chloramphenicol,Phenicols,5.5,ng/g,2013,209
soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,Erythromycin,Macrolides,3.5,ng/g,2013,209
soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,Norfloxacin,Fluoroquinolones,25.5,ng/g,2013,209
soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,Sulfadimidine,Sulfonamides,2.1,ng/g,2013,209
soil,Guangdong,Guangdong Guangzhou,7,113.264434,23.129162,Tetracycline,Tetracyclines,13,ng/g,2013,209
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Chlortetracycline,Tetracyclines,7.905,ng/g,NA,11
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Ciprofloxacin,Fluoroquinolones,16.77,ng/g,NA,11
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Doxycycline,Tetracyclines,0.98,ng/g,NA,212
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Enrofloxacin,Fluoroquinolones,19.1,ng/g,NA,11
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Florfenicol,Phenicols,0.64,ng/g,NA,11
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Lomefloxacin,Fluoroquinolones,0.8,ng/g,NA,186
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Norfloxacin,Fluoroquinolones,15.024999999999999,ng/g,NA,11
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Oxytetracycline,Tetracyclines,6.18,ng/g,NA,11
soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,Sulfadiazine,Sulfonamides,4.8,ng/g,NA,119
soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,Sulfadimethoxypyrimidine,Sulfonamides,5.99,ng/g,NA,119
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Sulfadimidine,Sulfonamides,11.8,ng/g,NA,11
soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,Sulfamerazine,Sulfonamides,3.6,ng/g,NA,119
soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,Sulfamethoxydiazine,Sulfonamides,16.7,ng/g,NA,119
soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,Sulfapyridine,Sulfonamides,2.6,ng/g,NA,119
soil,Guangdong,Guangdong Guangzhou,NA,113.260328,23.005235,Sulfathiazole,Sulfonamides,27.2,ng/g,NA,119
soil,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Tetracycline,Tetracyclines,88.45,ng/g,NA,11
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Cephalexin,Beta-lactams,5.26,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Ciprofloxacin,Fluoroquinolones,1.96,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Doxycycline,Tetracyclines,2.79,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Erythromycin-H2O,Macrolides,1.75,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Lincomycin,Lincosamides,0.2,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Norfloxacin,Fluoroquinolones,2.97,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Ofloxacin,Fluoroquinolones,2.6,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Oxytetracycline,Tetracyclines,1.05,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Penicillin G,Beta-lactams,1.23,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Penicillin V,Beta-lactams,4.34,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Sulfadiazine,Sulfonamides,1.65,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Sulfamonomethoxine,Sulfonamides,3.14,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Sulfaquinoxaline,Sulfonamides,0.63,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Tylosin,Macrolides,1.43,ng/g,2015,50
soil,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Vancomycin,Other,0.77,ng/g,2015,50
soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,Chloramphenicol,Phenicols,4.1,ng/g,2013,209
soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,Erythromycin,Macrolides,1.1,ng/g,2013,209
soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,Norfloxacin,Fluoroquinolones,23.9,ng/g,2013,209
soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,Sulfadimidine,Sulfonamides,1.4,ng/g,2013,209
soil,Guangdong,Guangdong Huizhou,7,114.416196,23.111847,Tetracycline,Tetracyclines,8.9,ng/g,2013,209
soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,Ofloxacin,Fluoroquinolones,27.2,ng/g,NA,83
soil,Guangdong,Guangdong Huizhou Huicheng district,NA,114.4,23.09,Tetracycline,Tetracyclines,26.4,ng/g,NA,83
soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,Ciprofloxacin,Fluoroquinolones,36.4,ng/g,2015,105
soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,Enrofloxacin,Fluoroquinolones,41.73,ng/g,2015,105
soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,Norfloxacin,Fluoroquinolones,53.96,ng/g,2015,105
soil,Guangdong,Guangdong Jiangmen Zhenhai Bay Mangrove Nature Reserve,5,112.3875,21.933333,Ofloxacin,Fluoroquinolones,36.85,ng/g,2015,105
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Chlortetracycline,Tetracyclines,15.985,ng/g,NA,20
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Ciprofloxacin,Fluoroquinolones,18.105,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Doxycycline,Tetracyclines,3.11,ng/g,NA,20
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Enrofloxacin,Fluoroquinolones,51.46000000000001,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Lomefloxacin,Fluoroquinolones,3.785,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Norfloxacin,Fluoroquinolones,33.44,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Oxytetracycline,Tetracyclines,6.17,ng/g,NA,20
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfadiazine,Sulfonamides,13.4,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfadimethoxine,Sulfonamides,4.9,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfadimidine,Sulfonamides,5.5,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfamerazine,Sulfonamides,16,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfameter,Sulfonamides,51.4,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Sulfamethoxazole,Sulfonamides,23.5,ng/g,NA,22
soil,Guangdong,Guangdong Pearl river Delta,NA,113.825175606403,23.0857406612354,Tetracycline,Tetracyclines,22.365000000000002,ng/g,NA,20
soil,Guangdong,Guangdong Shenzhen,7,114.057868,22.543099,Chloramphenicol,Phenicols,11.4,ng/g,2013,209
soil,Guangdong,Guangdong Shenzhen,7,114.057868,22.543099,Erythromycin,Macrolides,3.7,ng/g,2013,209
soil,Guangdong,Guangdong Shenzhen,7,114.057868,22.543099,Norfloxacin,Fluoroquinolones,34.4,ng/g,2013,209
soil,Guangdong,Guangdong Shenzhen,7,114.057868,22.543099,Sulfadimidine,Sulfonamides,2.2,ng/g,2013,209
soil,Guangdong,Guangdong Shenzhen,7,114.057868,22.543099,Tetracycline,Tetracyclines,18.2,ng/g,2013,209
soil,Guangdong,Guangdong Zhongshan,7,113.392782,22.517645,Chloramphenicol,Phenicols,6.6,ng/g,2013,209
soil,Guangdong,Guangdong Zhongshan,7,113.392782,22.517645,Erythromycin,Macrolides,3.6,ng/g,2013,209
soil,Guangdong,Guangdong Zhongshan,7,113.392782,22.517645,Norfloxacin,Fluoroquinolones,28.5,ng/g,2013,209
soil,Guangdong,Guangdong Zhongshan,7,113.392782,22.517645,Sulfadimidine,Sulfonamides,2.8,ng/g,2013,209
soil,Guangdong,Guangdong Zhongshan,7,113.392782,22.517645,Tetracycline,Tetracyclines,15.8,ng/g,2013,209
soil,Guangdong,Guangdong the East river catchment,11,113.866667,23.116667,Azithromycin,Macrolides,0.004,ng/g,2009,106
soil,Guangdong,Guangdong the East river catchment,11,113.866667,23.116667,Erythromycin-H2O,Macrolides,0.25,ng/g,2009,106
soil,Guangdong,Guangdong the East river catchment,11,113.866667,23.116667,Roxithromycin,Macrolides,0.08,ng/g,2009,106
soil,Guangdong,Guangdong the East river catchment,11,113.866667,23.116667,Sulfadiazine,Sulfonamides,0.08,ng/g,2009,106
soil,Guangdong,Guangdong the East river catchment,11,113.866667,23.116667,Sulfadimethoxypyrimidine,Sulfonamides,0.37,ng/g,2009,106
soil,Guangdong,Guangdong the East river catchment,11,113.866667,23.116667,Sulfamethoxazole,Sulfonamides,0.2,ng/g,2009,106
soil,Guangdong,Guangdong the East river catchment,11,113.866667,23.116667,Trimethoprim,Diaminopyrimidines,0.48,ng/g,2009,106
soil,Guangxi,Guangxi Nanning Xixiangtang district,12,108.336219,22.912972,Difloxacin,Fluoroquinolones,4.01,ng/g,2010,200
soil,Guangxi,Guangxi Nanning Xixiangtang district,NA,108.33,22.84,Ofloxacin,Fluoroquinolones,1.29,ng/g,NA,83
soil,Guangxi,Guangxi Nanning Xixiangtang district,NA,108.33,22.84,Oxytetracycline,Tetracyclines,1.55,ng/g,NA,83
soil,Guangxi,Guangxi Yulin Bobai County,12,110.140067,21.905961,Chlortetracycline,Tetracyclines,667,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,109.986967,22.201289,Ciprofloxacin,Fluoroquinolones,9.685,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,109.986967,22.201289,Doxycycline,Tetracyclines,258.9,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.140067,21.905961,Enrofloxacin,Fluoroquinolones,6.83,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,109.986967,22.201289,Lincomycin,Lincosamides,92.3,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.140067,21.905961,Norfloxacin,Fluoroquinolones,15.4,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.140067,21.905961,Ofloxacin,Fluoroquinolones,108,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.140067,21.905961,Oxytetracycline,Tetracyclines,52.3,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,109.986967,22.201289,Pefloxacin,Fluoroquinolones,20.45,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.102886,21.910214,Sulfachloropyridazine,Sulfonamides,5.11,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,109.986967,22.201289,Sulfadiazine,Sulfonamides,4.95,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.102886,21.910214,Sulfadimidine,Sulfonamides,3.69,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.102886,21.910214,Sulfamonomethoxine,Sulfonamides,5.37,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,109.986967,22.201289,Sulfaquinoxaline,Sulfonamides,2.02,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,110.140067,21.905961,Tetracycline,Tetracyclines,37.3,ng/g,2010,200
soil,Guangxi,Guangxi Yulin Bobai County,12,109.986967,22.201289,Trimethoprim,Diaminopyrimidines,3.2,ng/g,2010,200
soil,Guizhou,Guizhou Qiandongnan Miao and Dong Autonomous Prefecture Kaili,NA,107.97,26.58,Doxycycline,Tetracyclines,23.2,ng/g,NA,83
soil,Guizhou,Guizhou Qiandongnan Miao and Dong Autonomous Prefecture Kaili,NA,107.97,26.58,Enrofloxacin,Fluoroquinolones,3.25,ng/g,NA,83
soil,Guizhou,Guizhou Qiandongnan Miao and Dong Autonomous Prefecture Kaili,NA,107.97,26.58,Oxytetracycline,Tetracyclines,152,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Ciprofloxacin,Fluoroquinolones,20.7,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Doxycycline,Tetracyclines,4447.5,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Enrofloxacin,Fluoroquinolones,64.1,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Erythromycin,Macrolides,0.2,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Norfloxacin,Fluoroquinolones,0.6,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Ofloxacin,Fluoroquinolones,1.8,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Oxytetracycline,Tetracyclines,7580,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Sulfadiazine,Sulfonamides,4.73,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Sulfadimidine,Sulfonamides,0.67,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Sulfamethoxazole,Sulfonamides,0.07,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Sulfamethoxydiazine,Sulfonamides,0.73,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Sulfamonomethoxine,Sulfonamides,0.73,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Tetracycline,Tetracyclines,83.8,ng/g,NA,83
soil,Hainan,Hainan Haikou Longhua district,NA,110.32,20.03,Tylosin,Macrolides,0.4,ng/g,NA,83
soil,Hebei,Hebei,8,116.6666667,39.33333,Azithromycin,Macrolides,11.34,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Chlortetracycline,Tetracyclines,21.46,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Ciprofloxacin,Fluoroquinolones,5.97,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Danofloxacin,Fluoroquinolones,0.22,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Doxycycline,Tetracyclines,12.5,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Enrofloxacin,Fluoroquinolones,6.54,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Florfenicol,Phenicols,0.06,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Oxytetracycline,Tetracyclines,37.1,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Sarafloxacin,Fluoroquinolones,0.06,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Sulfadiazine,Sulfonamides,0.01,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Sulfadimidine,Sulfonamides,0.11,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Sulfamethoxazole,Sulfonamides,0.56,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Sulfamonomethoxine,Sulfonamides,0.71,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Sulfaquinoxaline,Sulfonamides,1.22,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Tetracycline,Tetracyclines,11.69,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Tilmicosin,Macrolides,0.42,ng/g,2016,147
soil,Hebei,Hebei,8,116.6666667,39.33333,Tylosin,Macrolides,0.48,ng/g,2016,147
soil,Hebei,Hebei Baoding Lianchi district Dongjinzhuang Township,7,115.55,38.87,Oxytetracycline,Tetracyclines,4.37,ng/g,2008,13
soil,Hebei,Hebei Baoding Lianchi district Dongjinzhuang Township,7,115.55,38.87,Tetracycline,Tetracyclines,2.75,ng/g,2008,13
soil,Hebei,Hebei Baoding Lianchi district Dongjinzhuang Township,7,115.55,38.87,Trimethoprim,Diaminopyrimidines,0.43,ng/g,2008,13
soil,Hebei,Hebei Cangzhou Botou Siying Township,7,116.2,38.02,Oxytetracycline,Tetracyclines,4.87,ng/g,2008,13
soil,Hebei,Hebei Shijiazhuang Luancheng district Douyu town,7,114.53,37.9,Oxytetracycline,Tetracyclines,74.72,ng/g,2008,13
soil,Hebei,Hebei Shijiazhuang Luancheng district Douyu town,7,114.53,37.9,Tetracycline,Tetracyclines,12.88,ng/g,2008,13
