"x","antibiotic_subtype","antibiotic_type","location","studied_system","treatment_system","scale_of_experiment","type_of_sample","antibiotic_detection_method","antibiotic_concentration_residue_system_mg_kg_water_system_mg_l","test_method_of_ar_gs","target_ar_gs_q_pcr_or_detected_ar_gs_metagenomics","absolute_abundance_residue_system_copies_mg_water_system_copies_m_l","relative_abundance_copies_16s","year","source_id","source"
1,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","1659","","","","",2022,"S001","Han, Z., Feng, H., Luan, X., Shen, Y., Ren, L., Deng, L., Larsson, D.G.J., Gillings, M., Zhang, Y., Yang, M., 2022. Three-Year Consecutive Field Application of Erythromycin Fermentation Residue Following Hydrothermal Treatment: Cumulative Effect on Soil Antibiotic Resistance Genes. Engineering-london. 15, 78–88. https://doi.org/10.1016/j.eng.2022.05.011"
2,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","38","","","","",2022,"S001","Han, Z., Feng, H., Luan, X., Shen, Y., Ren, L., Deng, L., Larsson, D.G.J., Gillings, M., Zhang, Y., Yang, M., 2022. Three-Year Consecutive Field Application of Erythromycin Fermentation Residue Following Hydrothermal Treatment: Cumulative Effect on Soil Antibiotic Resistance Genes. Engineering-london. 15, 78–88. https://doi.org/10.1016/j.eng.2022.05.011"
3,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Applied soil","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","0.83-76×10^-3","Metagenomic sequencing","11multidrug,7MLS,3chloramphenicol,2tetracycline,aadA,bacA,THIN-B,sul1","","",2022,"S001","Han, Z., Feng, H., Luan, X., Shen, Y., Ren, L., Deng, L., Larsson, D.G.J., Gillings, M., Zhang, Y., Yang, M., 2022. Three-Year Consecutive Field Application of Erythromycin Fermentation Residue Following Hydrothermal Treatment: Cumulative Effect on Soil Antibiotic Resistance Genes. Engineering-london. 15, 78–88. https://doi.org/10.1016/j.eng.2022.05.011"
4,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","2270.9","","","","",2021,"S002","Luan, X., Han, Z., Shen, Y., Yang, M., Zhang, Y., 2021. Assessing the effect of treated erythromycin fermentation residue on antibiotic resistome in soybean planting soil: In situ field study. Science of The Total Environment 779, 146329. https://doi.org/10.1016/j.scitotenv.2021.146329"
5,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","0.54200000000000004","","","","",2021,"S002","Luan, X., Han, Z., Shen, Y., Yang, M., Zhang, Y., 2021. Assessing the effect of treated erythromycin fermentation residue on antibiotic resistome in soybean planting soil: In situ field study. Science of The Total Environment 779, 146329. https://doi.org/10.1016/j.scitotenv.2021.146329"
6,"Erythromycin","Macrolides","Xinjiang Uygur Autonomous Region, China","Solid waste","Hydrothermal treatment","Full-scale","Applied soil","","","Metagenomic sequencing","69-106","","0.086-0.142",2021,"S002","Luan, X., Han, Z., Shen, Y., Yang, M., Zhang, Y., 2021. Assessing the effect of treated erythromycin fermentation residue on antibiotic resistome in soybean planting soil: In situ field study. Science of The Total Environment 779, 146329. https://doi.org/10.1016/j.scitotenv.2021.146329"
7,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","18.43","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
8,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","34.340000000000003","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
9,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","72.84","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
10,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","136.22999999999999","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
11,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Composting product","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","8.9999999999999993E-3","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
12,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Composting product","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0.014","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
13,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Composting product","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0.095","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
14,"Erythromycin","Macrolides","Shaanxi Province, China","Solid waste","Pig manure co-composting","Laboratory scale","Composting product","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0.12","","","","",2018,"S003","Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088"
15,"Erythromycin","Macrolides","Northwest China","Solid waste","Radiation coupled with peroxymonosulfate oxidation","Laboratory scale","Raw residue","High performance liquid chromatography(HPLC)","599 ± 58mg/L","Quantitative Real-time PCR","2erm, 1ere, 1mpf, 1mef","4.45-8.68log","",2019,"S004","Chu, L., Chen, D., Wang, J., Yang, Z., Shen, Y., 2019. Degradation of antibiotics and antibiotic resistance genes in erythromycin fermentation residues using radiation coupled with peroxymonosulfate oxidation. Waste Management 96, 190–197. https://doi.org/10.1016/j.wasman.2019.07.031"
16,"Erythromycin","Macrolides","Northwest China","Solid waste","Radiation coupled with peroxymonosulfate oxidation","Laboratory scale","Treated residue","High performance liquid chromatography(HPLC)","270-305mg/L","Quantitative Real-time PCR","2erm, 1ere, 1mpf, 1mef","Decreased by 96–99%","",2019,"S004","Chu, L., Chen, D., Wang, J., Yang, Z., Shen, Y., 2019. Degradation of antibiotics and antibiotic resistance genes in erythromycin fermentation residues using radiation coupled with peroxymonosulfate oxidation. Waste Management 96, 190–197. https://doi.org/10.1016/j.wasman.2019.07.031"
17,"Erythromycin","Macrolides","Ili, Xinjiang, China","Solid waste","Heat-activated persulfate oxidation","Laboratory scale","Raw residue","High performance liquid chromatography-tandem mass spectrometry（HPLC-MS/MS）","640 ± 20","Quantitative Real-time PCR","2erm, 1ere","","7.42×10^-9-6.82×10^-4",2019,"S005","Zhang, Y., Liu, H., Xin, Y., Shen, Y., Wang, J., Cai, C., Wang, M., 2019. Erythromycin degradation and ERY-resistant gene inactivation in erythromycin mycelial dreg by heat-activated persulfate oxidation. Chemical Engineering Journal 358, 1446–1453. https://doi.org/10.1016/j.cej.2018.10.157"
18,"Erythromycin","Macrolides","Ili, Xinjiang, China","Solid waste","Heat-activated persulfate oxidation","Laboratory scale","Treated residue","High performance liquid chromatography-tandem mass spectrometry（HPLC-MS/MS）","6.4","Quantitative Real-time PCR","","","Not detected",2019,"S005","Zhang, Y., Liu, H., Xin, Y., Shen, Y., Wang, J., Cai, C., Wang, M., 2019. Erythromycin degradation and ERY-resistant gene inactivation in erythromycin mycelial dreg by heat-activated persulfate oxidation. Chemical Engineering Journal 358, 1446–1453. https://doi.org/10.1016/j.cej.2018.10.157"
19,"Erythromycin","Macrolides","Ili, Xinjiang, China","Solid waste","Graphite electrode electrolysis","Laboratory scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","136.52–221.40","Metagenomic sequencing","484","","2.2",2023,"S006","Zhou, J., Wu, Z., Wang, S., Wu, H., Shi, L., Tian, S., Hou, L., 2023. Degradation performance and bioinformatic analysis of graphite electrode electrolysis cells for erythromycin fermentation residue. Journal of Cleaner Production 410, 137289. https://doi.org/10.1016/j.jclepro.2023.137289"
20,"Erythromycin","Macrolides","Ili, Xinjiang, China","Solid waste","Graphite electrode electrolysis","Laboratory scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","5.8-9.4","Metagenomic sequencing","484","","3",2023,"S006","Zhou, J., Wu, Z., Wang, S., Wu, H., Shi, L., Tian, S., Hou, L., 2023. Degradation performance and bioinformatic analysis of graphite electrode electrolysis cells for erythromycin fermentation residue. Journal of Cleaner Production 410, 137289. https://doi.org/10.1016/j.jclepro.2023.137289"
21,"Erythromycin","Macrolides","Ili, Xinjiang, China","Solid waste","Graphite electrode electrolysis","Laboratory scale","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","211.04","Metagenomic sequencing","334","","1.5",2024,"S007","Zhou, J., Wu, H., Wang, H., Wu, Z., Shi, L., Tian, S., Hou, L., 2025. Metagenomics reveals the resistance patterns of electrochemically treated erythromycin fermentation residue. Journal of Environmental Sciences 148, 567–578. https://doi.org/10.1016/j.jes.2024.01.030"
22,"Erythromycin","Macrolides","Ili, Xinjiang, China","Solid waste","Graphite electrode electrolysis","Laboratory scale","Treated residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","Not detected","Metagenomic sequencing","306","","3",2024,"S007","Zhou, J., Wu, H., Wang, H., Wu, Z., Shi, L., Tian, S., Hou, L., 2025. Metagenomics reveals the resistance patterns of electrochemically treated erythromycin fermentation residue. Journal of Environmental Sciences 148, 567–578. https://doi.org/10.1016/j.jes.2024.01.030"
23,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Solid waste","——","——","Raw residue","Ultra performance liquid chromatography-tandem mass spectrometry（UPLC-MS/MS）","931.3","Quantitative Real-time PCR","4erm, 1msr","1.6×10^5","1.6×10^-3",2014,"S008","Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045"
24,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Wastewater","Traditional anaerobic anoxic aerobic process (A/A/O process)","Pilot scale","Anaerobic sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","289.39999999999998","Quantitative Real-time PCR","4erm, 1ere, 1mph, 1mef, 1msr","4.3×10^5 copies/dry mg","2×10^-1",2014,"S008","Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045"
25,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Wastewater","Traditional anaerobic anoxic aerobic process (A/A/O process)","Pilot scale","Anoxic sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","153.69999999999999","Quantitative Real-time PCR","4erm, 1ere, 1mph, 1mef, 1msr","6.0×10^5 copies/dry mg","1.9",2014,"S008","Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045"
26,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Wastewater","Traditional anaerobic anoxic aerobic process (A/A/O process)","Pilot scale","Aerobic sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","113.5","Quantitative Real-time PCR","4erm, 1ere, 1mph, 1mef, 1msr","9.2×10^5 copies/ dry mg","2.7",2014,"S008","Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045"
27,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Wastewater","Traditional anaerobic anoxic aerobic process (A/A/O process)","Pilot scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","41.5","","","","",2014,"S008","Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045"
28,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Wastewater","Traditional anaerobic anoxic aerobic process (A/A/O process)","Pilot scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","3.8","","","","",2014,"S008","Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045"
29,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Wastewater","Traditional anaerobic anoxic aerobic process (A/A/O process)","Pilot scale","Aerobic reactor effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","3","","","","",2014,"S008","Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045"
30,"Spiramycin","Macrolides","Henan Province, China","Solid waste","Aerobic composting","Laboratory scale","Raw residue","High performance liquid chromatography(HPLC)","1670","Quantitative Real-time PCR","4erm,mefA,mphA","","4.75",2022,"S009","Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287"
31,"Spiramycin","Macrolides","Henan Province, China","Solid waste","Aerobic composting","Laboratory scale","Treated residue","High performance liquid chromatography(HPLC)","24.3","Quantitative Real-time PCR","4erm,mefA,mphA","","0.25",2022,"S009","Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287"
32,"Spiramycin","Macrolides","Henan Province, China","Solid waste","TAP-composting","Laboratory scale","Pretreated residue","High performance liquid chromatography(HPLC)","159","Quantitative Real-time PCR","4erm,mefA,mphA","","2",2022,"S009","Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287"
33,"Spiramycin","Macrolides","Henan Province, China","Solid waste","TAP-composting","Laboratory scale","Treated residue","High performance liquid chromatography(HPLC)","2.06","Quantitative Real-time PCR","4erm,mefA,mphA","","0.02",2022,"S009","Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287"
34,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Solid waste","Hyperthermophilic digestion","Laboratory scale","Raw residue","High performance liquid chromatography-tandem mass spectrometry（HPLC-MS/MS）","240.9±9.12mg/L","Quantitative Real-time PCR","Not detected","","",2018,"S010","Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256"
35,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Solid waste","Hyperthermophilic digestion with sludge","Laboratory scale","Mixed residue","High performance liquid chromatography-tandem mass spectrometry（HPLC-MS/MS）","119.3±0.50mg/L","Quantitative Real-time PCR","ereA,2erm,mefA","2.76×10^6 copies/mL","",2018,"S010","Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256"
36,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Solid waste","Hyperthermophilic digestion with sludge","Laboratory scale","Treated residue","High performance liquid chromatography-tandem mass spectrometry（HPLC-MS/MS）","1.2 ± 0.3 mg/L","Quantitative Real-time PCR","ereA,2erm,mefA","4.52×10^5 copies/mL","",2018,"S010","Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256"
37,"Spiramycin","Macrolides","Wuxi, Jiangsu Province, China","Solid waste","Hyperthermophilic digestion","Laboratory scale","Treated residue","High performance liquid chromatography-tandem mass spectrometry（HPLC-MS/MS）","107.7 ± 9.11mg/L","Quantitative Real-time PCR","Not detected","","",2018,"S010","Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256"
38,"Tylosine","Macrolides","Ningxia Hui Autonomous Region, China","Solid waste","Hyperthermophilic composting","Full-scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","85","Quantitative Real-time PCR","10tet,5erm,mefA,ereA,aacA4,3aad,aphA1,2str,3sul","5.9×10^9","",2019,"S011","Liao, H., Zhao, Q., Cui, P., Chen, Z., Yu, Z., Geisen, S., Friman, V.-P., Zhou, S., 2019. Efficient reduction of antibiotic residues and associated resistance genes in tylosin antibiotic fermentation waste using hyperthermophilic composting. Environ. Int. 133, 105203. https://doi.org/10.1016/j.envint.2019.105203"
39,"Tylosine","Macrolides","Ningxia Hui Autonomous Region, China","Solid waste","Hyperthermophilic composting","Full-scale","Composting product","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","4.25","Quantitative Real-time PCR","10tet,5erm,mefA,ereA,aacA4,3aad,aphA1,2str,3sul","3.5×10^9","",2019,"S011","Liao, H., Zhao, Q., Cui, P., Chen, Z., Yu, Z., Geisen, S., Friman, V.-P., Zhou, S., 2019. Efficient reduction of antibiotic residues and associated resistance genes in tylosin antibiotic fermentation waste using hyperthermophilic composting. Environ. Int. 133, 105203. https://doi.org/10.1016/j.envint.2019.105203"
40,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Sludge co-composting","Laboratory scale","Mixed residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","1050-1350","Quantitative Real-time PCR","3erm,2mph,msrA,mefA,copA,pcoA","","0.026",2018,"S012","Zhang, B., Wang, M.M., Wang, B., Xin, Y., Gao, J., Liu, H., 2018. The effects of bio-available copper on macrolide antibiotic resistance genes and mobile elements during tylosin fermentation dregs co-composting. Bioresour. Technol. 251, 230–237. https://doi.org/10.1016/j.biortech.2017.12.051"
41,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Sludge co-composting","Laboratory scale","Composting product","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","Not detected","Quantitative Real-time PCR","3erm,2mph,msrA,mefA,copA,pcoA","","0.024",2018,"S012","Zhang, B., Wang, M.M., Wang, B., Xin, Y., Gao, J., Liu, H., 2018. The effects of bio-available copper on macrolide antibiotic resistance genes and mobile elements during tylosin fermentation dregs co-composting. Bioresour. Technol. 251, 230–237. https://doi.org/10.1016/j.biortech.2017.12.051"
42,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Comprehensive treatment based on composting","Laboratory scale","Raw residue","High performance liquid chromatography(HPLC)","8009","","","","",2020,"S013","Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372"
43,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Comprehensive treatment based on composting","Laboratory scale","Pretreated residue","High performance liquid chromatography(HPLC)","258","","","","",2020,"S013","Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372"
44,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Comprehensive treatment based on composting","Laboratory scale","Mixed residue","High performance liquid chromatography(HPLC)","89","","","","",2020,"S013","Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372"
45,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Comprehensive treatment based on composting","Laboratory scale","Composting product","High performance liquid chromatography(HPLC)","<1","","","","",2020,"S013","Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372"
46,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Thermal pretreatment-aerobic composting","Laboratory scale","Mixed residue","High performance liquid chromatography(HPLC)","3008","","","","",2020,"S013","Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372"
47,"Tylosine","Macrolides","Shandong Province, China","Solid waste","Thermal pretreatment-aerobic composting","Laboratory scale","Composting product","High performance liquid chromatography(HPLC)","11.3","","","","",2020,"S013","Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372"
48,"Doramectin","Macrolides","Northwest China","Solid waste","Low-temperature thermal treatment（LTT）","Laboratory scale","Raw residue","High performance liquid chromatography(HPLC)","819","","","","",2023,"S014","Pan, M., Xin, Y., Wang, Z., Jia, W., Lu, H., Jiang, S., Wu, Z., Chen, X., Wang, Q., Du, H., Yan, Q., Liu, G., 2023. Benign treatment and resource utilization characteristics of doramectin fermentation residues. Journal of Cleaner Production 401, 136777. https://doi.org/10.1016/j.jclepro.2023.136777"
49,"Doramectin","Macrolides","Northwest China","Solid waste","Low-temperature thermal treatment（LTT）","Laboratory scale","Treated residue","High performance liquid chromatography(HPLC)","20.5","","","","",2023,"S014","Pan, M., Xin, Y., Wang, Z., Jia, W., Lu, H., Jiang, S., Wu, Z., Chen, X., Wang, Q., Du, H., Yan, Q., Liu, G., 2023. Benign treatment and resource utilization characteristics of doramectin fermentation residues. Journal of Cleaner Production 401, 136777. https://doi.org/10.1016/j.jclepro.2023.136777"
50,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Solid waste","——","——","Raw residue","High performance liquid chromatography-tandem mass spectrometry（HPLC-MS/MS）","44102.7","Quantitative Real-time PCR","9tet","1.4×10^5","2.4×10^-2",2012,"S015","Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m"
