dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_abbre,ABX_conc_mean,unit
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfadiazine,SDZ,2.497142857142857,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfadiazine,SDZ,20.17666666666667,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Tetracyclines,Tetracycline,TC,2.535,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Tetracyclines,Tetracycline,TC,24.294166666666666,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Tetracyclines,Oxytetracycline,OTC,5.705,μg/kg
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Tetracyclines,Oxytetracycline,OTC,68.40166666666667,μg/kg
Zhang_2022,China,Tianjin,NA,Haihe River,117.566281,38.995883,sediments,2008,7,Sulfonamides,NA,NA,179.0909090909091,μg/kg
Zhang_2022,China,Tianjin,NA,Haihe River,117.566281,38.995883,sediments,2008,12,Sulfonamides,NA,NA,276.3636363636364,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Fluoroquinolones,Norfloxacin,NFX,5.1,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Fluoroquinolones,Enrofloxacin,EFX,30.52,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Fluoroquinolones,Ciprofloxacin,CFX,18.14,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Other,Thiamphenicol,TAP,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Other,Olaquindox,OQD,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Other,Nicarbazin,NCZ,5.95,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Other,Florfenicol,FF,0.64,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Other,Chloramphenicol,CAP,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Sulfonamides,Sulfamerazine,SMZ1,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Sulfonamides,Sulfamethazine,SMZ,1.75,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Sulfonamides,Sulfamethoxazole,SMX,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Sulfonamides,Sulfametoxydiazine,SMD,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Tetracyclines,Tetracycline,TC,175.77,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Tetracyclines,Oxytetracycline,OTC,5.77,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Tetracyclines,Chlortetracycline,CTC,11.88,μg/kg
Zhang_2022,China,Liaoning,Dalian,Dalian Bay,121.614682,38.914003,sediments,2007,7,Other,Florfenicol,FF,NA,μg/kg
Zhang_2022,China,Hebei,Cangzhou,NA,116.2,38.02,soil,2008,7,Sulfonamides,Trimethoprim,TMP,0,μg/kg
Zhang_2022,China,Hebei,Baoding,NA,115.55,38.87,soil,2008,7,Sulfonamides,Trimethoprim,TMP,0.43,μg/kg
Zhang_2022,China,Hebei,Shijiazhuang,NA,114.53,37.9,soil,2008,7,Sulfonamides,Trimethoprim,TMP,0,μg/kg
Zhang_2022,China,Hebei,Cangzhou,NA,116.2,38.02,soil,2008,7,Tetracyclines,Tetracycline,TC,0,μg/kg
Zhang_2022,China,Hebei,Baoding,NA,115.55,38.87,soil,2008,7,Tetracyclines,Tetracycline,TC,2.75,μg/kg
Zhang_2022,China,Hebei,Shijiazhuang,NA,114.53,37.9,soil,2008,7,Tetracyclines,Tetracycline,TC,12.88,μg/kg
Zhang_2022,China,Hebei,Cangzhou,NA,116.2,38.02,soil,2008,7,Tetracyclines,Oxytetracycline,OTC,4.87,μg/kg
Zhang_2022,China,Hebei,Baoding,NA,115.55,38.87,soil,2008,7,Tetracyclines,Oxytetracycline,OTC,4.37,μg/kg
Zhang_2022,China,Hebei,Shijiazhuang,NA,114.53,37.9,soil,2008,7,Tetracyclines,Oxytetracycline,OTC,74.72,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Fluoroquinolones,Ofloxacin,OFX,0.7,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Fluoroquinolones,Norfloxacin,NFX,1.5,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Macrolides,Roxithromycin,RTM,0.4,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Macrolides,Erythromycin-H2O,ETM-H2O,0.1,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Other,Thiamphenicol,TAP,0.1,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Other,Florfenicol,FF,0.3,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Other,Chloramphenicol,CAP,0.1,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Sulfonamides,Sulfamethazine,SMZ,0.5,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Sulfonamides,Sulfamethoxazole,SMX,0.2,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Sulfonamides,Sulfadiazine,SDZ,0.4,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Tetracycline,TC,9.9,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Oxytetracycline,OTC,52.1,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Doxycycline,DXC,11.3,μg/kg
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Tetracyclines,Chlortetracycline,CTC,41.9,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfamerazine,SMZ1,2.28,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfamethazine,SMZ,8.33,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfamethoxazole,SMX,1.57,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfameter,SME,0.97,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfadiazine,SDZ,3.57,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Sulfonamides,Sulfadimethoxine,SDM,0,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Tetracyclines,Tetracycline,TC,107.59,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Tetracyclines,Oxytetracycline,OTC,1430.17,μg/kg
Zhang_2022,China,Fujian,NA,Jiulongjiang River,117.530254,25.187592,sediments,2010,1,Tetracyclines,Chlortetracycline,CTC,2326.85,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,municipal sludge,2008,NA,Fluoroquinolones,Ofloxacin,OFX,9550.5,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,municipal sludge,2008,NA,Macrolides,Spiramycin,SPM,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,municipal sludge,2008,NA,Tetracyclines,Norfloxacin,NFX,7325.5,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,municipal sludge,2008,NA,Tetracyclines,Ciprofloxacin,CFX,5753,μg/kg
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,7,Sulfonamides,Sulfisoxazole,SSZ,NA,μg/kg
