dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_clean,ABX_subcat_abbre,ABX_conc_mean,unit,abx
Zhang_2022,China,Tianjin,Tianjin,NA,117.334583,39.291861,sediments,2009,12,Sulfonamides,Sulfamethizole,sulfamethizole,SMTZ,1.85,μg/kg,sulfamethizole
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfamethizole,sulfamethizole,SMTZ,10.25,μg/kg,sulfamethizole
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfamethizole,sulfamethizole,SMTZ,7.32,μg/kg,sulfamethizole
Zhang_2022,China,Tianjin,Tianjin,NA,117.467694,39.15275,sediments,2009,12,Sulfonamides,Sulfamethoxypyridazine,sulfamethoxypyridazine,SMP,1.15,μg/kg,sulfamethoxypyridazine
Zhang_2022,China,Tianjin,Tianjin,NA,117.334583,39.291861,sediments,2009,12,Sulfonamides,Sulfamethoxypyridazine,sulfamethoxypyridazine,SMP,1.15,μg/kg,sulfamethoxypyridazine
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfamethoxypyridazine,sulfamethoxypyridazine,SMP,5.56,μg/kg,sulfamethoxypyridazine
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Sulfonamides,Sulfadimethoxine,sulfadimethoxine,SDM,11.83,μg/kg,sulfadimethoxine
Zhang_2022,China,Tianjin,Tianjin,NA,117.182889,38.961056,sediments,2009,7,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,11.43,μg/kg,oxytetracycline
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,7,Tetracyclines,Ofloxacin,ofloxacin,OFX,20.63,μg/kg,ofloxacin
Zhang_2022,China,Tianjin,Tianjin,NA,117.436722,39.334833,sediments,2009,12,Tetracyclines,Ofloxacin,ofloxacin,OFX,3.47,μg/kg,ofloxacin
