province,bacteria,abx,resistant_pc
Inner Mongolia,E. coli,ceftriaxone,49.7
Inner Mongolia,E. coli,chloramphenicol,24.3
Inner Mongolia,E. coli,ciprofloxacin,65.8
Inner Mongolia,E. coli,gentamicin,38.1
Inner Mongolia,E. coli,levofloxacin,62.8
Jiangsu,E. coli,amoxicillin,11.7
Jiangsu,E. coli,ampicillin,82.5
Jiangsu,E. coli,cefazolin,63.3
Jiangsu,E. coli,cefotaxime,51.1
Jiangsu,E. coli,ceftriaxone,50.7
Jiangsu,E. coli,chloramphenicol,23.5
Jiangsu,E. coli,ciprofloxacin,56.4
Jiangsu,E. coli,gentamicin,33
Jiangsu,E. coli,levofloxacin,54.6
Jiangxi,E. coli,amoxicillin,14.1
Jiangxi,E. coli,ampicillin,82.8
Jiangxi,E. coli,cefazolin,58.8
Jiangxi,E. coli,cefotaxime,43.8
Jiangxi,E. coli,ceftriaxone,46.7
Jiangxi,E. coli,chloramphenicol,27.1
Jiangxi,E. coli,ciprofloxacin,44.7
Jiangxi,E. coli,gentamicin,28.9
Jiangxi,E. coli,levofloxacin,42.4
Jilin,E. coli,amoxicillin,9.4
Jilin,E. coli,ampicillin,85.8
Jilin,E. coli,cefazolin,68
Jilin,E. coli,cefotaxime,53.4
Jilin,E. coli,ceftriaxone,55.7
Jilin,E. coli,chloramphenicol,31.7
Jilin,E. coli,ciprofloxacin,70.6
Jilin,E. coli,gentamicin,38.9
Jilin,E. coli,levofloxacin,66.3
Liaoning,E. coli,amoxicillin,11.5
Liaoning,E. coli,ampicillin,84.4
Liaoning,E. coli,cefazolin,68.6
Liaoning,E. coli,cefotaxime,57.7
Liaoning,E. coli,ceftriaxone,56.9
Liaoning,E. coli,chloramphenicol,30.2
Liaoning,E. coli,ciprofloxacin,69.2
Liaoning,E. coli,gentamicin,38.5
Liaoning,E. coli,levofloxacin,64.8
Ningxia,E. coli,amoxicillin,8.4
Ningxia,E. coli,ampicillin,82.8
Ningxia,E. coli,cefazolin,58.8
Ningxia,E. coli,cefotaxime,43.3
Ningxia,E. coli,ceftriaxone,46
Ningxia,E. coli,chloramphenicol,21
Ningxia,E. coli,ciprofloxacin,53.9
Ningxia,E. coli,gentamicin,35.1
Ningxia,E. coli,levofloxacin,50.5
Qinghai,E. coli,amoxicillin,7.4
Qinghai,E. coli,ampicillin,85.1
Qinghai,E. coli,cefazolin,60
Qinghai,E. coli,cefotaxime,32.2
Qinghai,E. coli,ceftriaxone,49.8
Qinghai,E. coli,chloramphenicol,18.4
Qinghai,E. coli,ciprofloxacin,51.7
Qinghai,E. coli,gentamicin,37.1
Qinghai,E. coli,levofloxacin,51.6
Shaanxi,E. coli,amoxicillin,12.8
Shaanxi,E. coli,ampicillin,85
Shaanxi,E. coli,cefazolin,68
Shaanxi,E. coli,cefotaxime,53.4
Shaanxi,E. coli,ceftriaxone,51.1
Shaanxi,E. coli,chloramphenicol,17.3
Shaanxi,E. coli,ciprofloxacin,56.4
Shaanxi,E. coli,gentamicin,34.3
Shaanxi,E. coli,levofloxacin,53
Shandong,E. coli,amoxicillin,15.1
Shandong,E. coli,ampicillin,83.1
Shandong,E. coli,cefazolin,62
Shandong,E. coli,cefotaxime,48.1
Shandong,E. coli,ceftriaxone,48.2
Shandong,E. coli,chloramphenicol,26.8
Shandong,E. coli,ciprofloxacin,55
Shandong,E. coli,gentamicin,36
Shandong,E. coli,levofloxacin,52.7
Shanghai,E. coli,amoxicillin,13.9
Shanghai,E. coli,ampicillin,80.5
Shanghai,E. coli,cefazolin,63.1
Shanghai,E. coli,cefotaxime,51.1
Shanghai,E. coli,ceftriaxone,50.7
Shanghai,E. coli,chloramphenicol,29.8
Shanghai,E. coli,ciprofloxacin,58.1
Shanghai,E. coli,gentamicin,31
Shanghai,E. coli,levofloxacin,55.3
Shanxi,E. coli,amoxicillin,19.5
Shanxi,E. coli,ampicillin,85.9
Shanxi,E. coli,cefazolin,67
Shanxi,E. coli,cefotaxime,48.9
Shanxi,E. coli,ceftriaxone,45.9
Shanxi,E. coli,chloramphenicol,22.8
Shanxi,E. coli,ciprofloxacin,56
Shanxi,E. coli,gentamicin,38.4
Shanxi,E. coli,levofloxacin,54
Sichuan,E. coli,amoxicillin,14.4
Sichuan,E. coli,ampicillin,84.2
Sichuan,E. coli,cefazolin,60.9
Sichuan,E. coli,cefotaxime,50.2
Sichuan,E. coli,ceftriaxone,50.3
Sichuan,E. coli,chloramphenicol,24.9
Sichuan,E. coli,ciprofloxacin,48
Sichuan,E. coli,gentamicin,31.6
Sichuan,E. coli,levofloxacin,46.1
Tianjin,E. coli,amoxicillin,9.3
Tianjin,E. coli,ampicillin,77.7
Tianjin,E. coli,cefazolin,55.4
Tianjin,E. coli,cefotaxime,45.9
Tianjin,E. coli,ceftriaxone,47.3
Tianjin,E. coli,chloramphenicol,17.1
Tianjin,E. coli,ciprofloxacin,51.8
Tianjin,E. coli,gentamicin,32.8
Tianjin,E. coli,levofloxacin,51.8
Tibet,E. coli,amoxicillin,5.8
Tibet,E. coli,ampicillin,82.7
Tibet,E. coli,cefazolin,78.6
Tibet,E. coli,cefotaxime,43.5
Tibet,E. coli,ceftriaxone,52.7
Tibet,E. coli,chloramphenicol,9.8
Tibet,E. coli,ciprofloxacin,33.9
Tibet,E. coli,gentamicin,25.9
Tibet,E. coli,levofloxacin,35.2
Xinjiang,E. coli,amoxicillin,13.8
Xinjiang,E. coli,ampicillin,76.2
Xinjiang,E. coli,cefazolin,55.4
Xinjiang,E. coli,cefotaxime,41.4
Xinjiang,E. coli,ceftriaxone,41.3
Xinjiang,E. coli,chloramphenicol,19.8
Xinjiang,E. coli,ciprofloxacin,47.3
Xinjiang,E. coli,gentamicin,28.4
Xinjiang,E. coli,levofloxacin,43.3
Yunnan,E. coli,amoxicillin,9.2
Yunnan,E. coli,ampicillin,86.6
Yunnan,E. coli,cefazolin,63.5
Yunnan,E. coli,cefotaxime,46.1
Yunnan,E. coli,ceftriaxone,47.1
Yunnan,E. coli,chloramphenicol,25.6
Yunnan,E. coli,ciprofloxacin,45.1
Yunnan,E. coli,gentamicin,34
Yunnan,E. coli,levofloxacin,44
Zhejiang,E. coli,amoxicillin,9.2
Zhejiang,E. coli,ampicillin,80.5
Zhejiang,E. coli,cefazolin,55.6
Zhejiang,E. coli,cefotaxime,41.6
Zhejiang,E. coli,ceftriaxone,46.9
Zhejiang,E. coli,chloramphenicol,25.2
Zhejiang,E. coli,ciprofloxacin,47.9
Zhejiang,E. coli,gentamicin,29.3
Zhejiang,E. coli,levofloxacin,45.1
Anhui,K. pneumoniae,ampicillin,88.5
Anhui,K. pneumoniae,cefazolin,30
Anhui,K. pneumoniae,cefotaxime,28.8
Anhui,K. pneumoniae,chloramphenicol,24.3
Anhui,K. pneumoniae,ceftriaxone,27
Anhui,K. pneumoniae,amoxicillin,17
Anhui,K. pneumoniae,ciprofloxacin,21.6
Anhui,K. pneumoniae,gentamicin,19.9
Anhui,K. pneumoniae,levofloxacin,18.9
Beijing,K. pneumoniae,ampicillin,91
Beijing,K. pneumoniae,cefazolin,50.7
Beijing,K. pneumoniae,cefotaxime,44.5
Beijing,K. pneumoniae,chloramphenicol,22.1
Beijing,K. pneumoniae,ceftriaxone,46.3
Beijing,K. pneumoniae,amoxicillin,32
Beijing,K. pneumoniae,ciprofloxacin,34.4
Beijing,K. pneumoniae,gentamicin,27.5
Beijing,K. pneumoniae,levofloxacin,32.4
Chongqing,K. pneumoniae,ampicillin,90.3
Chongqing,K. pneumoniae,cefazolin,26
Chongqing,K. pneumoniae,cefotaxime,17.8
Chongqing,K. pneumoniae,chloramphenicol,20.4
Chongqing,K. pneumoniae,ceftriaxone,20.6
Chongqing,K. pneumoniae,amoxicillin,14.4
Chongqing,K. pneumoniae,ciprofloxacin,15
Chongqing,K. pneumoniae,gentamicin,12.9
Chongqing,K. pneumoniae,levofloxacin,12.5
Fujian,K. pneumoniae,ampicillin,83.9
Fujian,K. pneumoniae,cefazolin,34.9
Fujian,K. pneumoniae,cefotaxime,34.8
Fujian,K. pneumoniae,chloramphenicol,30.8
Fujian,K. pneumoniae,ceftriaxone,29.8
Fujian,K. pneumoniae,amoxicillin,21.4
Fujian,K. pneumoniae,ciprofloxacin,22.3
Fujian,K. pneumoniae,gentamicin,17.5
Fujian,K. pneumoniae,levofloxacin,20.7
Gansu,K. pneumoniae,ampicillin,90.7
