province,antibiotic,metric,value,unit,china_mean,fold_change,log2_fc,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Ningxia,Levofloxacin,A. baumannii_resistance_2022,35.34155488014221,% resistant strains,43.31174040994337,0.8159809452503233,-0.2933926320457831,Fourth,6,Western,16,2,3,3
Ningxia,Ciprofloxacin,A. baumannii_resistance_2022,39.463019371032715,% resistant strains,54.15607613901938,0.7286905216273537,-0.45662186978889635,Fourth,6,Western,16,2,3,3
Ningxia,Meropenem,A. baumannii_resistance_2022,41.776061058044434,% resistant strains,53.080510035637886,0.7870320204157095,-0.34550576187988385,Fourth,6,Western,16,2,3,3
Ningxia,Ceftazidime,A. baumannii_resistance_2022,41.03343486785889,% resistant strains,51.53245733630273,0.7962638886027338,-0.32868146350769534,Fourth,6,Western,16,2,3,3
Ningxia,Tobramycin,A. baumannii_resistance_2022,42.97635555267334,% resistant strains,45.230282314362064,0.9501677494289478,-0.07374585522820315,Fourth,6,Western,16,2,3,3
Ningxia,Minocycline,A. baumannii_resistance_2022,19.586776196956635,% resistant strains,12.207583482227017,1.6044761213775816,0.6821023188646609,Fourth,6,Western,16,2,3,3
Ningxia,Tigecycline,A. baumannii_resistance_2022,12.900188565254211,% resistant strains,3.3713644882664084,3.8263998479403885,1.9359876391047288,Fourth,6,Western,16,2,3,3
Ningxia,Ceftriaxone,A. baumannii_resistance_2022,10.250569134950638,% resistant strains,49.77659450904016,0.2059315072888119,-2.2797635173123862,Fourth,6,Western,16,2,3,3
Ningxia,Cefotaxime,A. baumannii_resistance_2022,8.356545865535736,% resistant strains,49.3825247210841,0.16922070940548467,-2.563021957113264,Fourth,6,Western,16,2,3,3
Ningxia,Aztreonam,A. baumannii_resistance_2022,71.42857313156128,% resistant strains,64.34821136025411,1.1100319903480718,0.1506012546397725,Fourth,6,Western,16,2,3,3
Xinjiang,Nitrofurantoin,S. aureus_resistance_2022,0.6982543505728245,% resistant strains,0.5344098994585995,1.306589476130986,0.38580592477303194,Fourth,6,Western,18,2,3,2
Xinjiang,Rifampicin,S. aureus_resistance_2022,2.2321829572319984,% resistant strains,2.0369864579650665,1.095826115339977,0.13201889096361755,Fourth,6,Western,18,2,3,2
Xinjiang,Chloramphenicol,S. aureus_resistance_2022,4.827586188912392,% resistant strains,6.765083621802001,0.7136033283246361,-0.4868057507246477,Fourth,6,Western,18,2,3,2
Xinjiang,Gentamicin,S. aureus_resistance_2022,4.876957461237907,% resistant strains,9.367142401395306,0.5206451714144378,-0.9416276088301436,Fourth,6,Western,18,2,3,2
Xinjiang,Levofloxacin,S. aureus_resistance_2022,6.655370444059372,% resistant strains,14.164663490749174,0.46985729300282636,-1.089705452862462,Fourth,6,Western,18,2,3,2
Xinjiang,Trimethoprim/Sulfamethoxazole,S. aureus_resistance_2022,8.721917867660522,% resistant strains,13.378271208174768,0.6519465581121581,-0.617174387342888,Fourth,6,Western,18,2,3,2
Xinjiang,Ciprofloxacin,S. aureus_resistance_2022,6.81186318397522,% resistant strains,14.644781163623255,0.46513929487013933,-1.1042652713017385,Fourth,6,Western,18,2,3,2
Xinjiang,Tetracycline,S. aureus_resistance_2022,12.254253029823303,% resistant strains,20.158986867435516,0.6078804014510578,-0.7181405889917085,Fourth,6,Western,18,2,3,2
Xinjiang,Cefoxitin,S. aureus_resistance_2022,13.686130940914154,% resistant strains,27.033561828636355,0.5062644363206548,-0.982036952424927,Fourth,6,Western,18,2,3,2
Xinjiang,Oxacillin,S. aureus_resistance_2022,18.607549369335175,% resistant strains,27.222376148546896,0.683538764867461,-0.5489049365788043,Fourth,6,Western,18,2,3,2
Xinjiang,Clindamycin,S. aureus_resistance_2022,23.418189585208893,% resistant strains,30.98008680728174,0.7559110383029832,-0.40371163841870195,Fourth,6,Western,18,2,3,2
Xinjiang,Erythromycin,S. aureus_resistance_2022,49.59268569946289,% resistant strains,55.1966134578951,0.8984733408924267,-0.15445239753264972,Fourth,6,Western,18,2,3,2
Xinjiang,Penicillin G,S. aureus_resistance_2022,93.1532621383667,% resistant strains,91.24981145704946,1.020859776594861,0.029784713909814253,Fourth,6,Western,18,2,3,2
Xinjiang,Polymyxin B,E. coli_resistance_2022,0.28818442951887846,% resistant strains,1.1079538765793235,0.260105078027809,-1.9428335296163621,Fourth,6,Western,18,2,3,2
Xinjiang,Meropenem,E. coli_resistance_2022,0.48684291541576385,% resistant strains,1.2658972790914362,0.38458327026753886,-1.3786320894300843,Fourth,6,Western,18,2,3,2
Xinjiang,Ertapenem,E. coli_resistance_2022,0.5093378480523825,% resistant strains,1.1475837785720584,0.4438350014725312,-1.171904649840765,Fourth,6,Western,18,2,3,2
Xinjiang,Tigecycline,E. coli_resistance_2022,0.28627661522477865,% resistant strains,0.1598866965298751,1.7904967795196605,0.8403599237546712,Fourth,6,Western,18,2,3,2
Xinjiang,Imipenem,E. coli_resistance_2022,0.6396492943167686,% resistant strains,1.182867981298196,0.5407613566602373,-0.8869360359939411,Fourth,6,Western,18,2,3,2
Xinjiang,Amikacin,E. coli_resistance_2022,1.130227278918028,% resistant strains,1.8433170903834604,0.613148592184381,-0.7056913517551319,Fourth,6,Western,18,2,3,2
Xinjiang,Cefotetan,E. coli_resistance_2022,1.5620999038219452,% resistant strains,2.2184994583949447,0.7041245369300672,-0.5060974772156017,Fourth,6,Western,18,2,3,2
Xinjiang,Nitrofurantoin,E. coli_resistance_2022,3.3262934535741806,% resistant strains,2.866004122000548,1.1606031645384858,0.21487476770867503,Fourth,6,Western,18,2,3,2
Xinjiang,Cefoxitin,E. coli_resistance_2022,7.1027763187885284,% resistant strains,10.33073666114961,0.6875382222740859,-0.5404881754682103,Fourth,6,Western,18,2,3,2
Xinjiang,Cefepime,E. coli_resistance_2022,11.65953129529953,% resistant strains,23.675093102839686,0.4924809057625644,-1.0218603047258077,Fourth,6,Western,18,2,3,2
Xinjiang,Ceftazidime,E. coli_resistance_2022,15.685707330703735,% resistant strains,21.389369137825504,0.7333412794753601,-0.4474433445199656,Fourth,6,Western,18,2,3,2
Xinjiang,Chloramphenicol,E. coli_resistance_2022,20.277437567710876,% resistant strains,25.454306338102587,0.7966211020788082,-0.3280343984375551,Fourth,6,Western,18,2,3,2
Xinjiang,Aztreonam,E. coli_resistance_2022,24.667590856552124,% resistant strains,30.526666535485177,0.8080669675438595,-0.3074532354004603,Fourth,6,Western,18,2,3,2
Xinjiang,Gentamicin,E. coli_resistance_2022,28.00825834274292,% resistant strains,33.7330695121519,0.8302908317505262,-0.26831132706543276,Fourth,6,Western,18,2,3,2
Xinjiang,Tobramycin,E. coli_resistance_2022,8.713430166244507,% resistant strains,12.715457019306,0.6852628382145308,-0.5452706430804746,Fourth,6,Western,18,2,3,2
Xinjiang,Cefotaxime,E. coli_resistance_2022,37.91680932044983,% resistant strains,47.70890551228677,0.7947532837592528,-0.3314210225887195,Fourth,6,Western,18,2,3,2
Xinjiang,Ceftriaxone,E. coli_resistance_2022,41.268691420555115,% resistant strains,49.084405264546795,0.8407699186357077,-0.2502170419186662,Fourth,6,Western,18,2,3,2
Xinjiang,Trimethoprim/Sulfamethoxazole,E. coli_resistance_2022,43.77444684505463,% resistant strains,52.001104047221524,0.8417984126895387,-0.2484533055779473,Fourth,6,Western,18,2,3,2
Xinjiang,Levofloxacin,E. coli_resistance_2022,42.228496074676514,% resistant strains,48.704415752041726,0.867036292759682,-0.20583571125737107,Fourth,6,Western,18,2,3,2
Xinjiang,Cefuroxime,E. coli_resistance_2022,44.612449407577515,% resistant strains,50.20180459945433,0.8886622655007592,-0.17029286533097532,Fourth,6,Western,18,2,3,2
