province,bacteria,antibiotic,resistant_pc
Shanxi,E. coli,Amikacin,5.411455407738686
Shanxi,E. coli,Cefoxitin,11.269035190343857
Shanxi,E. coli,Ceftazidime,20.321589708328247
Shanxi,E. coli,Chloramphenicol,22.76804745197296
Shanxi,E. coli,Aztreonam,28.24385166168213
Shanxi,E. coli,Cefepime,23.25395941734314
Shanxi,E. coli,Tobramycin,34.28897261619568
Shanxi,E. coli,Gentamicin,38.448673486709595
Shanxi,E. coli,Ceftriaxone,45.90514600276947
Shanxi,E. coli,Cefotaxime,48.89751672744751
Shanxi,E. coli,Cefuroxime,49.1752028465271
Shanxi,E. coli,Levofloxacin,54.031968116760254
Shanxi,E. coli,Ciprofloxacin,55.99634051322937
Shanxi,E. coli,Cefazolin,66.99534058570862
Shanxi,E. coli,Ampicillin,85.9136164188385
Shanxi,K. pneumoniae,Tigecycline,1.7152657732367516
Shanxi,K. pneumoniae,Polymixin B,3.7550128996372223
Shanxi,K. pneumoniae,Meropenem,4.5899610966444016
Shanxi,K. pneumoniae,Imipenem,4.920228198170662
Shanxi,K. pneumoniae,Cefotetan,5.478912219405174
Shanxi,K. pneumoniae,Ertapenem,6.062407046556473
Shanxi,K. pneumoniae,Amikacin,5.231918394565582
Shanxi,K. pneumoniae,Cefoxitin,9.870225191116331
Shanxi,K. pneumoniae,Levofloxacin,11.23454123735428
Shanxi,K. pneumoniae,Tobramycin,11.778343468904495
Shanxi,K. pneumoniae,Ciprofloxacin,12.13022992014885
Shanxi,K. pneumoniae,Ceftazidime,12.462446093559263
Shanxi,K. pneumoniae,Cefepime,12.250086665153503
Shanxi,K. pneumoniae,Gentamicin,11.15228459239006
Shanxi,K. pneumoniae,Aztreonam,14.683113992214205
Shanxi,K. pneumoniae,Ceftriaxone,18.680202960968018
Shanxi,K. pneumoniae,Chloramphenicol,15.856662392616272
Shanxi,K. pneumoniae,Cefotaxime,16.762761771678925
Shanxi,K. pneumoniae,Cefuroxime,20.63024640083313
Shanxi,K. pneumoniae,Cefazolin,23.496954143047333
Shanxi,K. pneumoniae,Nitrofurantoin,16.920268535614014
Shanxi,K. pneumoniae,Ampicillin,87.17153668403625
Shanxi,P. aeruginosa,Polymixin B,2.900763414800167
Shanxi,P. aeruginosa,Amikacin,2.749713510274887
Shanxi,P. aeruginosa,Gentamicin,6.340014934539795
Shanxi,P. aeruginosa,Tobramycin,7.109496742486954
Shanxi,P. aeruginosa,Cefepime,6.678571552038193
Shanxi,P. aeruginosa,Ciprofloxacin,8.385995030403137
Shanxi,P. aeruginosa,Meropenem,11.012991517782211
Shanxi,P. aeruginosa,Ceftazidime,9.705580025911331
Shanxi,P. aeruginosa,Imipenem,12.889757752418518
Shanxi,P. aeruginosa,Levofloxacin,9.599725902080536
Shanxi,P. aeruginosa,Piperacillin,13.493204116821287
Shanxi,P. aeruginosa,Aztreonam,15.966948866844175
Shanxi,A. baumannii,Polymixin B,2.6266416534781456
Shanxi,A. baumannii,Tigecycline,3.677884489297867
Shanxi,A. baumannii,Minocycline,16.220450401306152
Shanxi,A. baumannii,Amikacin,39.85431790351868
Shanxi,A. baumannii,Gentamicin,43.52683126926422
Shanxi,A. baumannii,Tobramycin,44.47304010391235
Shanxi,A. baumannii,Levofloxacin,44.56438720226288
Shanxi,A. baumannii,Ciprofloxacin,52.26472616195679
Shanxi,A. baumannii,Meropenem,53.4088134765625
Shanxi,A. baumannii,Imipenem,53.74634861946106
Shanxi,A. baumannii,Cefepime,46.7896431684494
Shanxi,A. baumannii,Ceftazidime,52.75062918663025
Shanxi,A. baumannii,Cefotaxime,57.57731795310974
Shanxi,A. baumannii,Ceftriaxone,51.04088187217712
Shanxi,A. baumannii,Aztreonam,3.399359807372093
Inner Mongolia,S. aureus,Nitrofurantoin,0.5895357578992844
Inner Mongolia,S. aureus,Rifampicin,2.5865914300084114
Inner Mongolia,S. aureus,Gentamicin,8.989714086055756
Inner Mongolia,S. aureus,Tetracycline,13.656683266162872
Inner Mongolia,S. aureus,Oxacillin,18.083900213241577
Inner Mongolia,S. aureus,Levofloxacin,16.649746894836426
Inner Mongolia,S. aureus,Cefoxitin,18.34862381219864
Inner Mongolia,S. aureus,Ciprofloxacin,17.178770899772644
Inner Mongolia,S. aureus,Chloramphenicol,6.166219711303711
Inner Mongolia,S. aureus,Clindamycin,30.01466393470764
Inner Mongolia,S. aureus,Erythromycin,68.47643256187439
Inner Mongolia,S. aureus,Penicillin G,88.82508277893066
Inner Mongolia,E. coli,Tigecycline,0.0220701826037839
Inner Mongolia,E. coli,Imipenem,0.6056771147996187
Inner Mongolia,E. coli,Ertapenem,0.6222411524504423
Inner Mongolia,E. coli,Meropenem,0.7108741439878941
Inner Mongolia,E. coli,Polymixin B,1.0869565419852734
Inner Mongolia,E. coli,Cefotetan,1.4956521801650524
Inner Mongolia,E. coli,Amikacin,4.170818626880646
Inner Mongolia,E. coli,Nitrofurantoin,3.6973346024751663
Inner Mongolia,E. coli,Cefoxitin,11.33982315659523
Inner Mongolia,E. coli,Chloramphenicol,24.27258789539337
Inner Mongolia,E. coli,Ceftazidime,20.47555595636368
Inner Mongolia,E. coli,Cefepime,23.323866724967957
Inner Mongolia,E. coli,Aztreonam,31.93640112876892
Inner Mongolia,E. coli,Tobramycin,35.92387139797211
Inner Mongolia,E. coli,Gentamicin,38.10511231422424
Inner Mongolia,E. coli,Ceftriaxone,49.70783293247223
Inner Mongolia,E. coli,Cefotaxime,50.631457567214966
Inner Mongolia,E. coli,Cefuroxime,51.05464458465576
Inner Mongolia,E. coli,Levofloxacin,62.80007362365723
Inner Mongolia,E. coli,Ciprofloxacin,65.8150851726532
Inner Mongolia,E. coli,Cefazolin,72.64957427978516
Inner Mongolia,E. coli,Ampicillin,82.78884291648865
Inner Mongolia,K. pneumoniae,Ertapenem,3.4366797655820847
Inner Mongolia,K. pneumoniae,Tigecycline,0.7855822332203388
Inner Mongolia,K. pneumoniae,Meropenem,4.3549347668886185
Inner Mongolia,K. pneumoniae,Imipenem,4.186106100678444
Inner Mongolia,K. pneumoniae,Amikacin,4.151354357600212
Inner Mongolia,K. pneumoniae,Polymixin B,5.508474633097649
Inner Mongolia,K. pneumoniae,Cefotetan,5.457539483904839
Inner Mongolia,K. pneumoniae,Cefoxitin,9.496796131134031
Inner Mongolia,K. pneumoniae,Cefepime,12.749087810516356
Inner Mongolia,K. pneumoniae,Ceftazidime,14.278550446033478
Inner Mongolia,K. pneumoniae,Tobramycin,14.886260032653809
Inner Mongolia,K. pneumoniae,Levofloxacin,15.05444347858429
Inner Mongolia,K. pneumoniae,Aztreonam,17.656654119491577
Inner Mongolia,K. pneumoniae,Gentamicin,13.204027712345123
Inner Mongolia,K. pneumoniae,Ciprofloxacin,16.870346665382385
Inner Mongolia,K. pneumoniae,Ceftriaxone,21.571528911590576
Inner Mongolia,K. pneumoniae,Cefotaxime,21.952104568481445
Inner Mongolia,K. pneumoniae,Chloramphenicol,19.465386867523193
Inner Mongolia,K. pneumoniae,Cefuroxime,23.478655517101288
Inner Mongolia,K. pneumoniae,Cefazolin,25.165563821792603
Inner Mongolia,K. pneumoniae,Nitrofurantoin,21.195651590824127
Inner Mongolia,K. pneumoniae,Ampicillin,87.48251795768738
Inner Mongolia,P. aeruginosa,Polymixin B,1.9455252215266228
Inner Mongolia,P. aeruginosa,Amikacin,2.1610168740153313
Inner Mongolia,P. aeruginosa,Tobramycin,5.150820314884186
Inner Mongolia,P. aeruginosa,Gentamicin,4.37890961766243
Inner Mongolia,P. aeruginosa,Ciprofloxacin,7.121922820806503
Inner Mongolia,P. aeruginosa,Meropenem,9.2261902987957
Inner Mongolia,P. aeruginosa,Cefepime,5.413703992962837
Inner Mongolia,P. aeruginosa,Ceftazidime,9.939845651388168
Inner Mongolia,P. aeruginosa,Imipenem,12.598425149917604
Inner Mongolia,P. aeruginosa,Levofloxacin,8.304696530103683
Inner Mongolia,P. aeruginosa,Piperacillin,13.547953963279724
Inner Mongolia,P. aeruginosa,Aztreonam,15.905743837356567
Inner Mongolia,A. baumannii,Polymixin B,1.3114754110574722
Inner Mongolia,A. baumannii,Tigecycline,2.720207162201405
Inner Mongolia,A. baumannii,Minocycline,15.360696613788605
Inner Mongolia,A. baumannii,Tobramycin,38.79954814910889
Inner Mongolia,A. baumannii,Gentamicin,38.89593780040741
Inner Mongolia,A. baumannii,Amikacin,43.51464509963989
Inner Mongolia,A. baumannii,Cefepime,39.43693637847901
Inner Mongolia,A. baumannii,Imipenem,49.99042451381683
Inner Mongolia,A. baumannii,Levofloxacin,37.3828262090683
Inner Mongolia,A. baumannii,Ceftazidime,49.97166991233826
Inner Mongolia,A. baumannii,Ciprofloxacin,52.56064534187317
Inner Mongolia,A. baumannii,Meropenem,53.65123152732849
Inner Mongolia,A. baumannii,Cefotaxime,47.42857217788696
Inner Mongolia,A. baumannii,Ceftriaxone,45.951417088508606
Inner Mongolia,A. baumannii,Aztreonam,63.58024477958679
Liaoning,S. aureus,Nitrofurantoin,0.7020280696451664
