sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link
sediment,sediment,Guangdong,"Guangzhou, Panyu district, daxuecheng",Oxytetracycline,tetracyclines,9420000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Liwan district",Oxytetracycline,tetracyclines,287000000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Oxytetracycline,tetracyclines,1340000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Oxytetracycline,tetracyclines,20400000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Oxytetracycline,tetracyclines,5790000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Oxytetracycline,tetracyclines,42600000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Oxytetracycline,tetracyclines,22300000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Oxytetracycline,tetracyclines,16399999.999999998,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Oxytetracycline,tetracyclines,41600000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Roxithromycin,macrolides,3180000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Roxithromycin,macrolides,3610000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Roxithromycin,macrolides,3290000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Roxithromycin,macrolides,8050000.000000001,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Panyu district",Roxithromycin,macrolides,2190000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Liwan district",Roxithromycin,macrolides,13300000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Roxithromycin,macrolides,600000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Roxithromycin,macrolides,1420000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Roxithromycin,macrolides,1210000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Roxithromycin,macrolides,820000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Roxithromycin,macrolides,1970000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Panyu district, daxuecheng",Roxithromycin,macrolides,820000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Shenzhen, Maozhou River",Roxithromycin,macrolides,2860000.0,7960000.0,ng/g dw,,,"Qiu, W. et al. Occurrence of antibiotics in the main rivers of Shenzhen, China: Association with antibiotic resistance genes and microbial community. Science of the Total Environment 653 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),37,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+of+antibiotics+in+the+main+rivers+of+Shenzhen%2C+China%3A+Association+with+antibiotic+resistance+genes+and+microbial+community
sediment,sediment,Guangdong,"Shenzhen, Maozhou River",Sulfadiazine,sulfonamides,437280000.0,571960000.0,ng/g dw,,,"Qiu, W. et al. Occurrence of antibiotics in the main rivers of Shenzhen, China: Association with antibiotic resistance genes and microbial community. Science of the Total Environment 653 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),37,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+of+antibiotics+in+the+main+rivers+of+Shenzhen%2C+China%3A+Association+with+antibiotic+resistance+genes+and+microbial+community
sediment,sediment,Guangdong,Shenzhen,Sulfadiazine,sulfonamides,139168000.0,571956000.0,ng/g dw,,,"Qiu, W. et al. Occurrence of antibiotics in the main rivers of Shenzhen, China: Association with antibiotic resistance genes and microbial community. Science of the Total Environment 653 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),37,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+of+antibiotics+in+the+main+rivers+of+Shenzhen%2C+China%3A+Association+with+antibiotic+resistance+genes+and+microbial+community
sediment,sediment,Guangdong,"Guangzhou, Liwan district",Sulfadimethoxine,sulfonamides,280000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimethoxine,sulfonamides,140000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimethoxine,sulfonamides,20000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimethoxine,sulfonamides,40000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,Guangdong,Sulfadimidine,sulfonamides,3905000.0,,ng/g dw,,,"Xiong, W. et al. Antibiotics, Antibiotic Resistance Genes, and Bacterial Community Composition in Fresh Water Aquaculture Environment in China. Microbial ecology 70 (2015).",Zhang 2022 supplementary dataset (Sheet7 record),169,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Antibiotics%2C+Antibiotic+Resistance+Genes%2C+and+Bacterial+Community+Composition+in+Fresh+Water+Aquaculture+Environment+in+China
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Sulfadimidine,sulfonamides,510000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Sulfadimidine,sulfonamides,1760000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Sulfadimidine,sulfonamides,770000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Sulfadimidine,sulfonamides,720000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Panyu district",Sulfadimidine,sulfonamides,830000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Panyu district, daxuecheng",Sulfadimidine,sulfonamides,310000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Liwan district",Sulfadimidine,sulfonamides,1580000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimidine,sulfonamides,390000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimidine,sulfonamides,160000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimidine,sulfonamides,480000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimidine,sulfonamides,750000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimidine,sulfonamides,590000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimidine,sulfonamides,870000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Tianhe district",Sulfadimidine,sulfonamides,1860000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Shenzhen, Maozhou River",Sulfadimidine,sulfonamides,3810000.0,5970000.0,ng/g dw,,,"Qiu, W. et al. Occurrence of antibiotics in the main rivers of Shenzhen, China: Association with antibiotic resistance genes and microbial community. Science of the Total Environment 653 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),37,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+of+antibiotics+in+the+main+rivers+of+Shenzhen%2C+China%3A+Association+with+antibiotic+resistance+genes+and+microbial+community
sediment,sediment,Guangdong,Guangdong,Sulfamethoxazole,sulfonamides,1631250.0,,ng/g dw,,,"Xiong, W. et al. Antibiotics, Antibiotic Resistance Genes, and Bacterial Community Composition in Fresh Water Aquaculture Environment in China. Microbial ecology 70 (2015).",Zhang 2022 supplementary dataset (Sheet7 record),169,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Antibiotics%2C+Antibiotic+Resistance+Genes%2C+and+Bacterial+Community+Composition+in+Fresh+Water+Aquaculture+Environment+in+China
sediment,sediment,Guangdong,Guangdong,Sulfamethoxydiazine,sulfonamides,1217500.0,,ng/g dw,,,"Xiong, W. et al. Antibiotics, Antibiotic Resistance Genes, and Bacterial Community Composition in Fresh Water Aquaculture Environment in China. Microbial ecology 70 (2015).",Zhang 2022 supplementary dataset (Sheet7 record),169,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Antibiotics%2C+Antibiotic+Resistance+Genes%2C+and+Bacterial+Community+Composition+in+Fresh+Water+Aquaculture+Environment+in+China
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Sulfapyridine,sulfonamides,420000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
sediment,sediment,Guangdong,"Guangzhou, Baiyun district",Sulfapyridine,sulfonamides,1020000.0,,ng/g dw,,,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",Zhang 2022 supplementary dataset (Sheet7 record),31,Data_on_Antibiotics_in_China__07_Sheet7.csv,https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S
