sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
sediment,Josamycin,macrolides,3,2,0.1,0.1736,0.192,-0.3828455689690551
sediment,Ofloxacinoxacin,fluoroquinolones,3,2,0.08,0.632,0.77,-0.3840882514071637
sediment,Clindamycin,macrolides,4,1,0.01495,0.48955500000000013,0.68655,-0.4040862761530772
sediment,Clindamycin,other,2,2,5.0475,8.585500000000001,9.47,-0.40558573387562813
sediment,Erythromycin-H2O-H2O,macrolides,2,1,30.549999999999997,46.83,50.9,-0.4166700385350409
sediment,Pipemidic acid,fluoroquinolones,3,1,2.43,2320.486,2900.0,-0.4287861140005245
sediment,Roxithromycin,tetracyclines,2,1,15.36,25.392,27.9,-0.46114690164265665
sediment,Ofloxacin,tetracyclines,2,1,12.049999999999999,18.913999999999998,20.63,-0.47645605910281674
sediment,Dehydroerythromycin,macrolides,3,1,0.62,0.892,0.96,-0.47958841616753123
sediment,Sulfametoxydiazine,sulfonamides,2,2,1.02375,1.17875,1.2175,-0.4797230252551188
sediment,Enrofloxacin,other,2,1,7.125,7.193,7.21,-0.5085467008740472
sediment,Spectinomycin,other,1,1,141.0,141.0,141.0,-0.5095282126764614
sediment,Sulfachlorpyridazine,sulfonamides,2,2,0.005,0.009000000000000001,0.01,-0.5271276384335215
sediment,Total antibiotics,other,2,2,,,,-0.5274654161547094
sediment,Pipemidic Acid,fluoroquinolones,2,1,5.06,5.092,5.1,-0.528405896703599
sediment,Streptomycin,other,1,1,68.9,68.9,68.9,-0.5575285777566237
sediment,erythromycin-H2O,macrolides,2,1,2.33,2.506,2.55,-0.5689549701441068
sediment,Doxycycline,macrolides,2,1,1.45,1.65,1.7,-0.5897384909121616
sediment,Roxithromycin-H2O,macrolides,2,1,1.28,1.3448,1.361,-0.5946087196371856
sediment,Sulfamethoxydiazine,sulfonamides,2,1,0.1135,0.2043,0.227,-0.6431445012517174
sediment,sulfamethazine,sulfonamides,2,1,0.08,0.08,0.08,-0.645213286502531
sediment,Mabofloxacin,fluoroquinolones,2,1,0.0799,0.14382,0.1598,-0.6452195575607056
sediment,Sulfaphenazolum,sulfonamides,2,1,0.02535,0.045630000000000004,0.0507,-0.6487300074358555
sediment,Sulfadimoxine,sulfonamides,2,1,0.010975,0.019755,0.02195,-0.6496861935846772
sediment,Levofloxacin,fluoroquinolones,1,1,13.6990425531915,13.6990425531915,13.6990425531915,-0.6631299357044441
sediment,Erythromycin–H2O,macrolides,1,1,11.45,11.45,11.45,-0.6743763493423988
sediment,Oleandomycin Phosphate,macrolides,1,1,11.4465,11.4465,11.4465,-0.6743953909768485
sediment,Florfenicol,fluoroquinolones,1,1,5.31666666666667,5.31666666666667,5.31666666666667,-0.7203292445983395
sediment,Kitasamycin,macrolides,1,1,4.422,4.422,4.422,-0.7306725653219253
sediment,Nadifloxacin,fluoroquinolones,1,1,3.82,3.82,3.82,-0.738643093068794
sediment,Cloxacillin,other,1,1,3.76,3.76,3.76,-0.7394914251553274
sediment,Ampicillin,beta-lactams,1,1,3.13,3.13,3.13,-0.7491062606854652
sediment,Pipemidic acid,sulfonamides,1,1,2.85,2.85,2.85,-0.7538607944492156
sediment,Tosufloxacin tosylate,fluoroquinolones,1,1,2.79,2.79,2.79,-0.754924548665125
sediment,Ofloxacin,sulfonamides,1,1,2.7,2.7,2.7,-0.756552180098996
sediment,Carbadox,other,1,1,2.0,2.0,2.0,-0.7707553547261484
sediment,Lincomycin,macrolides,1,1,1.82,1.82,1.82,-0.7749458226789913
sediment,Mecillinam,other,1,1,1.7,1.7,1.7,-0.7778908211284478
sediment,Norfloxacinfloxacin,fluoroquinolones,1,1,1.685,1.685,1.685,-0.7782681162140678
sediment,Sulfachinoxaline,sulfonamides,1,1,1.57,1.57,1.57,-0.7812327355501526
sediment,Enrofloxacinoxacin,fluoroquinolones,1,1,1.205,1.205,1.205,-0.7916066336716495
sediment,Narasin,other,1,1,1.04,1.04,1.04,-0.7968740734632365
sediment,Sulfamoxole,sulfonamides,1,1,1.005,1.005,1.005,-0.7980460929452082
sediment,Aureomycin,other,1,1,1.0,1.0,1.0,-0.7982151923906347
sediment,anhydroerythromycin,macrolides,1,1,0.9,0.9,0.9,-0.8016889944737059
sediment,Sulfacetamide,other,1,1,0.63,0.63,0.63,-0.8120693590017871
sediment,Sulfamethazole,sulfonamides,1,1,0.52,0.52,0.52,-0.8168012336588605
sediment,Sulfapyridne,sulfonamides,1,1,0.5,0.5,0.5,-0.8176982572722656
sediment,Anhydrochlortetracycline,tetracyclines,1,1,0.48,0.48,0.48,-0.8186073218302679
sediment,Sulfadoxin,sulfonamides,1,1,0.48,0.48,0.48,-0.8186073218302679
sediment,Minocycline,tetracyclines,1,1,0.375,0.375,0.375,-0.8235910412364563
sediment,Sulfadimethoxine sodium salt,sulfonamides,1,1,0.36,0.36,0.36,-0.8243339111277227
sediment,Flumequine,sulfonamides,1,1,0.2,0.2,0.2,-0.8328104964574202
sediment,Enrofloxacin,sulfonamides,1,1,0.18,0.18,0.18,-0.8339487466578606
sediment,Sulfaguanidine,sulfonamides,1,1,0.18,0.18,0.18,-0.8339487466578606
sediment,Sulfaquirioxaline,sulfonamides,1,1,0.18,0.18,0.18,-0.8339487466578606
sediment,Epianhydrotetracycline,tetracyclines,1,1,0.15,0.15,0.15,-0.8356928162418676
sediment,4-Epichlortetracycline,tetracyclines,1,1,0.14,0.14,0.14,-0.8362842985404915
sediment,Epitetracycline,tetracyclines,1,1,0.12,0.12,0.12,-0.837482989880783
