province,bacteria,CARSS_abx,resistant_pc,n_strains
Jiangxi,E. coli,Ampicillin,82.8,
Jiangxi,E. coli,Cefazolin,58.8,
Jiangxi,E. coli,Cefotaxime,43.8,
Jiangxi,E. coli,Ceftriaxone,46.7,
Jiangxi,E. coli,Chloramphenicol,27.1,
Jiangxi,E. coli,Ciprofloxacin,44.7,
Jiangxi,E. coli,Gentamicin,28.9,
Jiangxi,E. coli,Levofloxacin,42.4,
Jilin,E. coli,Amoxicillin,9.4,
Jilin,E. coli,Ampicillin,85.8,
Jilin,E. coli,Cefazolin,68,
Jilin,E. coli,Cefotaxime,53.4,
Jilin,E. coli,Ceftriaxone,55.7,
Jilin,E. coli,Chloramphenicol,31.7,
Jilin,E. coli,Ciprofloxacin,70.6,
Jilin,E. coli,Gentamicin,38.9,
Jilin,E. coli,Levofloxacin,66.3,
Liaoning,E. coli,Amoxicillin,11.5,
Liaoning,E. coli,Ampicillin,84.4,
Liaoning,E. coli,Cefazolin,68.6,
Liaoning,E. coli,Cefotaxime,57.7,
Liaoning,E. coli,Ceftriaxone,56.9,
Liaoning,E. coli,Chloramphenicol,30.2,
Liaoning,E. coli,Ciprofloxacin,69.2,
Liaoning,E. coli,Gentamicin,38.5,
Liaoning,E. coli,Levofloxacin,64.8,
Ningxia,E. coli,Amoxicillin,8.4,
Ningxia,E. coli,Ampicillin,82.8,
Ningxia,E. coli,Cefazolin,58.8,
Ningxia,E. coli,Cefotaxime,43.3,
Ningxia,E. coli,Ceftriaxone,46,
Ningxia,E. coli,Chloramphenicol,21,
Ningxia,E. coli,Ciprofloxacin,53.9,
Ningxia,E. coli,Gentamicin,35.1,
Ningxia,E. coli,Levofloxacin,50.5,
Qinghai,E. coli,Amoxicillin,7.4,
Qinghai,E. coli,Ampicillin,85.1,
Qinghai,E. coli,Cefazolin,60,
Qinghai,E. coli,Cefotaxime,32.2,
Qinghai,E. coli,Ceftriaxone,49.8,
Qinghai,E. coli,Chloramphenicol,18.4,
Qinghai,E. coli,Ciprofloxacin,51.7,
Qinghai,E. coli,Gentamicin,37.1,
Qinghai,E. coli,Levofloxacin,51.6,
Shaanxi,E. coli,Amoxicillin,12.8,
Shaanxi,E. coli,Ampicillin,85,
Shaanxi,E. coli,Cefazolin,68,
Shaanxi,E. coli,Cefotaxime,53.4,
Shaanxi,E. coli,Ceftriaxone,51.1,
Shaanxi,E. coli,Chloramphenicol,17.3,
Shaanxi,E. coli,Ciprofloxacin,56.4,
Shaanxi,E. coli,Gentamicin,34.3,
Shaanxi,E. coli,Levofloxacin,53,
Shandong,E. coli,Amoxicillin,15.1,
Shandong,E. coli,Ampicillin,83.1,
Shandong,E. coli,Cefazolin,62,
Shandong,E. coli,Cefotaxime,48.1,
Shandong,E. coli,Ceftriaxone,48.2,
Shandong,E. coli,Chloramphenicol,26.8,
Shandong,E. coli,Ciprofloxacin,55,
Shandong,E. coli,Gentamicin,36,
Shandong,E. coli,Levofloxacin,52.7,
Shanghai,E. coli,Amoxicillin,13.9,
Shanghai,E. coli,Ampicillin,80.5,
Shanghai,E. coli,Cefazolin,63.1,
Shanghai,E. coli,Cefotaxime,51.1,
Shanghai,E. coli,Ceftriaxone,50.7,
Shanghai,E. coli,Chloramphenicol,29.8,
Shanghai,E. coli,Ciprofloxacin,58.1,
Shanghai,E. coli,Gentamicin,31,
Shanghai,E. coli,Levofloxacin,55.3,
Shanxi,E. coli,Amoxicillin,19.5,
Shanxi,E. coli,Ampicillin,85.9,
Shanxi,E. coli,Cefazolin,67,
Shanxi,E. coli,Cefotaxime,48.9,
Shanxi,E. coli,Ceftriaxone,45.9,
Shanxi,E. coli,Chloramphenicol,22.8,
Shanxi,E. coli,Ciprofloxacin,56,
Shanxi,E. coli,Gentamicin,38.4,
Shanxi,E. coli,Levofloxacin,54,
Sichuan,E. coli,Amoxicillin,14.4,
Sichuan,E. coli,Ampicillin,84.2,
Sichuan,E. coli,Cefazolin,60.9,
Sichuan,E. coli,Cefotaxime,50.2,
