scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
all_years,sludge,tetracyclines,K. pneumoniae | Tigecycline,milk_output_2024,14,3,77,19,2,2004,2020,0.1624156988594455,0.5790649040884317,0.3142857142857143,0.2738049029628676,0.30098512187415105,0.03648989898989916,-0.13496515820714486,0.6454977036795251,-0.3758241758241758,0.18541002869712309,TRUE,1,1.508663821205194,Hebei,3,5,0,4,3,0.9768522563106797,0.900578520216359,4,19,Strong lead,2,,,,NA
all_years,sediment,phenicols,E. coli | Aztreonam,WastewaterHealthIndex,14,3,58,25,1,2006,2020,-0.16043956043956042,0.5837527526413416,-0.21758241758241756,0.4549193731700335,0.20022103787458767,0.11060606060606078,-0.3674369660182657,0.1962088401883401,0.002200221353402789,0.9940439800944257,TRUE,1,1.123287671232877,Jilin,3,3,2,4,3,0.9777031012917953,0.9595063759323308,4,19,Strong lead,2,,,,NA
all_years,surface water,macrolides,E. coli | Aztreonam,LivestockAquacultureIndex,14,3,42,16,1,2015,2023,-0.12967032967032965,0.658619276321178,0.12967032967032965,0.658619276321178,0.006641885476426646,0.5788497217068641,-0.44175824175824174,0.11377750302872344,0.3098901098901099,0.2809332808692584,TRUE,0.8571428571428571,1.593220338983051,Henan,3,3,5,4,4,0.986382660126367,0.9735149286785509,0,19,Strong lead,2,,,,NA
all_years,surface water,sulfonamides,E. coli | Ciprofloxacin,LivestockAquacultureIndex,14,3,49,15,1,2013,2024,-0.09890109890109891,0.736585369925317,-0.16043956043956042,0.5837527526413416,0.07898257926378309,0.18961038961038862,-0.4862489191020163,0.07789960750661203,0.06380641924868087,0.8284403401618442,TRUE,0.7857142857142857,2.2777777777777777,Guangdong,3,3,4,3,3,0.986382660126367,0.9595063759323308,3,19,Strong lead,2,,,,NA
all_years,surface water,sulfonamides,K. pneumoniae | Tigecycline,LivestockAquacultureIndex,14,3,49,15,1,2013,2024,-0.05054945054945055,0.8637420361792152,-0.2967032967032967,0.30296672383870205,0.07898257926378309,0.18961038961038862,-0.4862489191020163,0.07789960750661203,0.38063829413868244,0.17938767002030287,TRUE,0.7142857142857143,4.695652173913044,Tibet,3,3,4,2,4,0.986382660126367,0.9152354706110217,3,19,Strong lead,2,,,,NA
all_years,surface water,sulfonamides,P. aeruginosa | Gentamicin,LivestockAquacultureIndex,14,3,49,15,1,2013,2024,-0.01978021978021978,0.9464892274080117,0.024175824175824177,0.9346189946036425,0.07898257926378309,0.18961038961038862,-0.4862489191020163,0.07789960750661203,0.05500553383506972,0.8518464444924994,TRUE,0.7142857142857143,12.388888888888891,Tibet,3,3,4,2,3,0.9949950572831489,0.9848577046651604,4,19,Strong lead,2,,,,NA
all_years,sediment,lincosamides,E. coli | Ertapenem,large_animals_year_end_2024,13,3,26,22,1,2010,2018,0.6767544228932973,0.011071551812544388,0.7692307692307693,0.00211222959934988,0.2592759711301179,0.06997245179063301,-0.327373074489034,0.27488966062773995,-0.11538461538461539,0.7073898735142602,TRUE,1,0.13049370126246002,Guangxi,3,3,1,5,4,0.8679810523175701,0.3337694779208819,3,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,tetracyclines,A. baumannii | Aztreonam,LivestockAquacultureIndex,13,3,62,15,2,2015,2020,-0.6032888786479726,0.0290446300617386,-0.6043956043956044,0.02867270567140693,0.4335646817450266,0,0.6271815075053181,0.02176731370972029,-0.09340659340659341,0.7615000227827012,TRUE,1,0.39199386577621104,Qinghai,3,2,0,5,4,0.9657949031671055,0.7096467255770226,5,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,tetracyclines,A. baumannii | Ceftriaxone,population_2024,13,3,62,15,2,2015,2020,-0.5853694070049635,0.03557166559880226,-0.5879120879120879,0.03458605834210767,0.4335646817450266,0,0.657047293577,0.014686500196941205,-0.19230769230769232,0.5290679872349876,TRUE,1,0.3963497649480278,Qinghai,3,2,0,5,4,0.9850615088899087,0.7147018817513962,5,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,tetracyclines,A. baumannii | Cefepime,population_2024,13,3,62,15,2,2015,2020,-0.5495304637189454,0.05172961253718691,-0.6373626373626373,0.019118113777463336,0.4335646817450266,0,0.657047293577,0.014686500196941205,-0.04945054945054945,0.8725444288811492,TRUE,1,0.41270565856167357,Qinghai,3,2,0,5,4,0.9897658389202042,0.7096467255770226,5,19,Strong lead,2,,,,NA
