pub_id,pub_full,place_in_article_data_extracted_from,article_link
42,"Wu, D. et al. The Occurrence and Risks of Selected Emerging Pollutants in Drinking Water Source Areas in Henan, China. International Journal of Environmental Research and Public Health 16, doi:10.3390/ijerph16214109 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.3390/ijerph16214109
43,"Xie, H. et al. Pharmaceuticals and personal care products in water, sediments, aquatic organisms, and fish feeds in the Pearl River Delta: Occurrence, distribution, potential sources, and health risk assessment. Sci Total Environ 659, 230-239, doi:10.1016/j.scitotenv.2018.12.222 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2018.12.222
44,"Yuan, J., Ni, M., Liu, M., Zheng, Y. & Gu, Z. Occurrence of antibiotics and antibiotic resistance genes in a typical estuary aquaculture region of Hangzhou Bay, China. Marine Pollution Bulletin 138 (2019).",compiled in Zhang_2022.xls,
45,"Zhang, Y. et al. DOM as an indicator of occurrence and risks of antibiotics in a city-river-reservoir system with multiple pollution sources. Sci Total Environ 686, 276-289, doi:10.1016/j.scitotenv.2019.05.439 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2019.05.439
46,"Zhou, Y. et al. Which type of pollutants need to be controlled with priority in wastewater treatment plants: Traditional or emerging pollutants? Environment International 131, doi:10.1016/j.envint.2019.104982 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envint.2019.104982
47,"Zhu, Y. et al. Residual characteristics and risk assessment of quinolones in agricultural soil along the Fenhe River. Huanjing Kexue Xuebao 39, 1989-1998, doi:10.13671/j.hjkxxb.2019.0023 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.13671/j.hjkxxb.2019.0023
49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2020).",compiled in Zhang_2022.xls,
50,"Chen, Y. et al. Comprehensive insights into the occurrence, distribution, risk assessment and indicator screening of antibiotics in a large drinking reservoir system. Sci Total Environ 716, 137060, doi:10.1016/j.scitotenv.2020.137060 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2020.137060
51,"Gao, Q. et al. Environmental antibiotics drives the genetic functions of resistome dynamics. Environ Int 135, 105398, doi:10.1016/j.envint.2019.105398 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envint.2019.105398
52,"Han, Q. F. et al. Distribution, combined pollution and risk assessment of antibiotics in typical marine aquaculture farms surrounding the Yellow Sea, North China. Environment International 138 (2020).",compiled in Zhang_2022.xls,
53,"Jin, C. et al. The Forms, Distribution, and Risk Assessment of Sulfonamide Antibiotics in the Manure-Soil-Vegetable System of Feedlot Livestock. Bull Environ Contam Toxicol 105, 790-797, doi:10.1007/s00128-020-03010-9 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s00128-020-03010-9
54,"Kuang, Y. et al. Occurrence and risks of antibiotics in an urban river in northeastern Tibetan Plateau. Sci Rep 10, 20054, doi:10.1038/s41598-020-77152-5 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1038/s41598-020-77152-5
56,"Leng, Y., Xiao, H., Li, Z. & Wang, J. Tetracyclines, sulfonamides and quinolones and their corresponding resistance genes in coastal areas of Beibu Gulf, China. Sci Total Environ 714, 136899, doi:10.1016/j.scitotenv.2020.136899 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2020.136899
57,"Li, F. et al. Antibiotics in coastal water and sediments of the East China Sea: Distribution, ecological risk assessment and indicators screening. Marine Pollution Bulletin 151 (2020).",compiled in Zhang_2022.xls,
58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.chemosphere.2020.128441
59,"Li, S. et al. Enrichment of antibiotics in an inland lake water. Environ Res 190, 110029, doi:10.1016/j.envres.2020.110029 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envres.2020.110029
60,"Li, Z. et al. Optimization of Antibiotic Detection Methods and Residual Characteristics in Aquaculture Water and Sediment. Asian Journal of Ecotoxicology 15, 209-219, doi:10.7524/aje.1673-5897.20190725003 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.7524/aje.1673-5897.20190725003
61,"Liu, K., Zhang, D., Xiao, X., Cui, L. & Zhang, H. Occurrence of quinotone antibiotics and their impacts on aquatic environment in typical river-estuary system of Jiaozhou Bay, China. Ecotoxicology and Environmental Safety 190 (2020).",compiled in Zhang_2022.xls,
62,"Liu, X., Liang, C., Liu, X., Zhao, F. & Han, C. Occurrence and human health risk assessment of pharmaceuticals and personal care products in real agricultural systems with long-term reclaimed wastewater irrigation in Beijing, China. Ecotoxicology and Environmental Safety 190, doi:10.1016/j.ecoenv.2019.110022 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.ecoenv.2019.110022
63,"Lu, L. et al. Antibiotic resistance gene abundances associated with heavy metals and antibiotics in the sediments of Changshou Lake in the three Gorges Reservoir area, China. Ecological Indicators 113 (2020).",compiled in Zhang_2022.xls,
64,"Ohore, O. E., Addo, F. G., Han, N., Li, X. & Zhang, S. Profiles of ARGs and their relationships with antibiotics, metals and environmental parameters in vertical sediment layers of three lakes in China. Journal of Environmental Management 255 (2020).",compiled in Zhang_2022.xls,
65,"Peng, Q. et al. Pharmaceutically active compounds (PhACs) in surface sediments of the Jiaozhou Bay, north China. Environmental Pollution 266, doi:10.1016/j.envpol.2020.115245 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envpol.2020.115245
66,"Peng, Q., Wang, W. Z. & Xu, W. H. Ecological Risk Assessment of Tetracycline Antibiotics in Livestock Manure and Vegetable Soil of Chongqing. Huan Jing Ke Xue 41, 4757-4766, doi:10.13227/j.hjkx.202003229 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.13227/j.hjkx.202003229
67,"Shen, L. et al. The correlation between quinolone antibiotics and microbial community structure and diversity in Baiyangdian Lake. Huanjing Kexue Xuebao 40, 574-584, doi:10.13671/j.hjkxxb.2019.0385 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.13671/j.hjkxxb.2019.0385
68,"Su, H. et al. Spatiotemporal variations and source tracking of antibiotics in an ecological aquaculture farm in Southern China. Sci Total Environ, 143022, doi:10.1016/j.scitotenv.2020.143022 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2020.143022
69,"Liu, T. et al. Diversity and distribution of antibiotics and antibiotic resistance genes in seven national mangrove nature reserves, South China. International Biodeterioration & Biodegradation 153 (2020).",compiled in Zhang_2022.xls,
70,"Wang, G. et al. Occurrence, distribution, and source track of antibiotics and antibiotic resistance genes in the main rivers of Chongqing city, southwest China. Journal of Hazardous Materials 389 (2020).",compiled in Zhang_2022.xls,
71,"Wang, K., Reguyal, F. & Zhuang, T. Risk assessment and investigation of landfill leachate as a source of emerging organic contaminants to the surrounding environment: a case study of the largest landfill in Jinan City, China. Environ Sci Pollut Res Int, doi:10.1007/s11356-020-10093-8 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-020-10093-8
72,"Wang, Y. n. et al. Occurrence and distribution of typical antibiotics in the aquatic environment of the wetland karst plateau in Guizhou. Huanjing Huaxue-Environmental Chemistry 39, 975-986, doi:10.7524/j.issn.0254-6108.2019090103 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.7524/j.issn.0254-6108.2019090103
73,"Yang, J. et al. Multi-phase distribution, spatiotemporal variation and risk assessment of antibiotics in a typical urban-rural watershed. Ecotoxicol Environ Saf 206, 111156, doi:10.1016/j.ecoenv.2020.111156 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.ecoenv.2020.111156
74,"Yu, J. et al. Contamination characteristics and ecological risk assessment of antibiotics in four typical Procambarus clarkii aquaculture environments in Jiangsu Province,China. Journal of Agro-Environment Science 39, 386-393 (2020).",compiled in Zhang_2022.xls,
75,"Zhang, G., Liu, X., Lu, S., Zhang, J. & Wang, W. Occurrence of typical antibiotics in Nansi Lake's inflowing rivers and antibiotic source contribution to Nansi Lake based on principal component analysis-multiple linear regression model. Chemosphere 242, 125269, doi:10.1016/j.chemosphere.2019.125269 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.chemosphere.2019.125269
