sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
sediment,Guangdong,"Pearl River, site Z8",2017,,Sulfacetamide,16.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Sulfacetamide,13.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Sulfacetamide,13,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Sulfacetamide,14.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfacetamide,82,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfacetamide,22.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfacetamide,61.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfacetamide,20.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfacetamide,48.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfacetamide,46.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfacetamide,35.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfacetamide,58.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfacetamide,65.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfacetamide,13.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfacetamide,16.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfacetamide,44,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfacetamide,16.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfacetamide,18.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfacetamide,14.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfacetamide,15.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfacetamide,20,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfacetamide,36.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Sulfacetamide,112,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Sulfacetamide,82.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Sulfacetamide,66.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Sulfacetamide,41.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Sulfacetamide,36.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Sulfacetamide,14.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Sulfadiazine,12.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Sulfadiazine,62.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Sulfadiazine,35.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Sulfadiazine,38.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Sulfadiazine,34.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Sulfadiazine,15.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Sulfadiazine,5.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Sulfadiazine,16.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Sulfadiazine,21.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Sulfadiazine,14.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Sulfadiazine,28.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Sulfadiazine,70.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Sulfadiazine,71.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Sulfadiazine,16.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Sulfadiazine,13.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Sulfadiazine,12.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Sulfadiazine,24.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Sulfadiazine,12.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Sulfadiazine,19.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Sulfadiazine,15.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Sulfadiazine,17.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Sulfadiazine,61.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Sulfadiazine,86.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Sulfadiazine,40.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Sulfadiazine,47.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Sulfadiazine,17.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Sulfadiazine,24.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Sulfadiazine,33.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Sulfadiazine,15.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Sulfadiazine,15.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Sulfadiazine,22.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Sulfadiazine,15,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfadiazine,18.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfadiazine,24.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfadiazine,56.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfadiazine,17.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfadiazine,20.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfadiazine,38.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfadiazine,31.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfadiazine,45.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfadiazine,57,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfadiazine,7.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfadiazine,17.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfadiazine,44.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfadiazine,14.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfadiazine,15.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfadiazine,16.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfadiazine,20.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfadiazine,18.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfadiazine,37.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Sulfamethazine,793.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Sulfamethazine,295.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Sulfamethazine,302.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Sulfamethazine,216.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Sulfamethazine,48.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Sulfamethazine,38.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Sulfamethazine,78.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Sulfamethazine,46.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Sulfamethazine,43,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Sulfamethazine,77.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Sulfamethazine,52.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Sulfamethazine,812.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Sulfamethazine,285.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Sulfamethazine,263.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Sulfamethazine,197,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Sulfamethazine,81.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Sulfamethazine,77,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Sulfamethazine,64.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Sulfamethazine,84.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Sulfamethazine,39.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Sulfamethazine,53.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Sulfamethazine,47.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Sulfamethazine,160.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Sulfamethazine,239.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Sulfamethazine,198.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Sulfamethazine,223.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Sulfamethazine,71.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Sulfamethazine,41,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Sulfamethazine,49.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Sulfamethazine,76.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Sulfamethazine,49.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Sulfamethazine,31.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Sulfamethazine,68.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfamethazine,293.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfamethazine,312.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfamethazine,246.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfamethazine,47.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfamethazine,197,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfamethazine,194.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfamethazine,49.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfamethazine,198.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfamethazine,160.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfamethazine,84.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfamethazine,81.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfamethazine,223.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfamethazine,76.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfamethazine,46.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfamethazine,68.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfamethazine,43,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfamethazine,52.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfamethazine,48.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Sulfamethoxazole,165.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Sulfamethoxazole,76.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Sulfamethoxazole,153.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Sulfamethoxazole,191,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Sulfamethoxazole,32.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Sulfamethoxazole,26.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Sulfamethoxazole,6.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Sulfamethoxazole,26.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Sulfamethoxazole,32.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Sulfamethoxazole,27.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Sulfamethoxazole,23.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Sulfamethoxazole,66.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Sulfamethoxazole,194.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Sulfamethoxazole,120.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Sulfamethoxazole,85.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Sulfamethoxazole,52.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Sulfamethoxazole,18.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Sulfamethoxazole,56.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Sulfamethoxazole,37.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Sulfamethoxazole,24.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Sulfamethoxazole,31.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Sulfamethoxazole,18.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Sulfamethoxazole,161.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Sulfamethoxazole,102.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Sulfamethoxazole,50.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Sulfamethoxazole,56.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Sulfamethoxazole,80,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Sulfamethoxazole,69.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Sulfamethoxazole,36.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Sulfamethoxazole,18.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Sulfamethoxazole,39,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Sulfamethoxazole,55.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Sulfamethoxazole,60,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfamethoxazole,165.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfamethoxazole,66.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfamethoxazole,191,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfamethoxazole,18.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfamethoxazole,85.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfamethoxazole,156.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfamethoxazole,36.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfamethoxazole,50.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfamethoxazole,161.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfamethoxazole,37.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfamethoxazole,52.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfamethoxazole,56.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfamethoxazole,18.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfamethoxazole,26.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfamethoxazole,60,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfamethoxazole,32.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfamethoxazole,23.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfamethoxazole,32.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Sulfapyridine,76.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Sulfapyridine,160.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Sulfapyridine,112.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Sulfapyridine,95.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Sulfapyridine,36,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Sulfapyridine,25.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Sulfapyridine,10.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Sulfapyridine,18.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Sulfapyridine,22.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Sulfapyridine,23.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Sulfapyridine,25.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Sulfapyridine,40.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Sulfapyridine,234.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Sulfapyridine,129.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Sulfapyridine,164.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Sulfapyridine,16,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Sulfapyridine,23.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Sulfapyridine,28.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Sulfapyridine,17.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Sulfapyridine,21.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Sulfapyridine,24.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Sulfapyridine,25.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Sulfapyridine,86.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Sulfapyridine,68.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Sulfapyridine,83.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Sulfapyridine,70.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Sulfapyridine,30.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Sulfapyridine,35.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Sulfapyridine,41.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Sulfapyridine,33.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Sulfapyridine,33.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Sulfapyridine,39.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Sulfapyridine,31.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfapyridine,76.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfapyridine,40.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Sulfapyridine,95.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfapyridine,25.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfapyridine,164.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Sulfapyridine,68.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfapyridine,41.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfapyridine,83.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Sulfapyridine,86.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfapyridine,17.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfapyridine,16,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Sulfapyridine,70.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfapyridine,33.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfapyridine,18.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Sulfapyridine,31.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfapyridine,22.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfapyridine,25.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Sulfapyridine,36,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2015,,Tetracycline,6.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2015,,Tetracycline,12,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Tetracycline,17.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Tetracycline,14.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Tetracycline,62.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Tetracycline,19.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Tetracycline,100.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Tetracycline,66.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Tetracycline,10.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Tetracycline,3.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Tetracycline,14.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Tetracycline,13.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Tetracycline,65.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2016,,Tetracycline,52.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2016,,Tetracycline,14.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2016,,Tetracycline,84.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2016,,Tetracycline,19.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2016,,Tetracycline,23.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2016,,Tetracycline,14.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2016,,Tetracycline,4.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2016,,Tetracycline,11.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2016,,Tetracycline,3.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Tetracycline,40.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Tetracycline,98.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Tetracycline,12.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Tetracycline,13.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Tetracycline,14.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Tetracycline,39.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2017,,Tetracycline,35.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Tetracycline,33,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Tetracycline,9.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Tetracycline,10.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Tetracycline,5.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Tetracycline,36.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Tetracycline,23.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Tetracycline,19.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Tetracycline,43.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Tetracycline,29.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Tetracycline,18.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Tetracycline,35.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Tetracycline,27.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Tetracycline,20.7,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Tetracycline,64.5,,ng/g (dw),N43
