sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Pefloxacin,22.33,131.23,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Roxithromycin,3.52,11.22,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sarafloxacin,0.18,0.74,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfacetamide,0.12,0.64,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfachlorpyridazine,0.01,0.11,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfadiazine,0.03,0.23,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfadimethoxine,0.05,0.47,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfamerazine,0.13,0.68,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfameter,0.2,1.09,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfamethazine,0.14,0.64,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfamethoxazole,0.03,0.17,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfamonomethoxine,0.11,0.36,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfapyridine,0.03,0.28,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfaquinoxaline,0.02,0.2,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfathiazole,0.02,0.24,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Sulfisoxazole,0.02,0.19,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Tetracycline,81.09,477.89,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Trimethoprim,0.16,0.38,ng/g (dw),N39
solid waste,Hainan,,2013–2023,,Oxytetracycline (OTC),156.47,4746,ng/g (dw),N39
solid waste,Hainan,,2013–2023,,Tetracycline (TC),834,4462,ng/g (dw),N39
surface water,Hainan,,2013–2023,,Ciprofloxacin (CIP),90.76,1069.06,ng/L,N39
surface water,Hainan,,2013–2023,,Enrofloxacin (ENR),2.78,28.29,ng/L,N39
surface water,Hainan,,2013–2023,,Roxithromycin (RTM),3.83,70.17,ng/L,N39
surface water,Hainan,,2013–2023,,Sulfamethoxazole (SMX),199.74,1070.4,ng/L,N39
surface water,Hainan,,2013–2023,,Trimethoprim (TMP),14.32,182.61,ng/L,N39
surface water sediment,Hainan,,2013–2023,,Sulfamethoxazole (SMX),0.03,0.17,ng/g (dw),N39
surface water sediment,Hainan,,2013–2023,,Trimethoprim (TMP),0.16,0.38,ng/g (dw),N39
municipal sludge,Hebei,Hebei,Pre-2020,,Tetracyclines (total),,4063,µg/g (dw),N4
municipal sludge,Jiangsu,,Pre-2020,,Macrolides (total),,6890.95,µg/kg (dw),N4
surface water,Hainan,,2024,,Doxycycline (DOX),18.49,66.88,ng/L,N41
surface water,Hainan,,2024,,Fleroxacin (FLE),98.69,1542.67,ng/L,N41
surface water,Hainan,,2024,,Oxytetracycline (OTC),79.85,274.13,ng/L,N41
surface water,Hainan,,2024,,Sulfachloropyridazine (SCP),0.44,7,ng/L,N41
surface water,Hainan,,2024,,Sulfadiazine (SD),0.94,4.79,ng/L,N41
surface water,Hainan,,2024,,Sulfaguanidine (SGD),0.11,1.64,ng/L,N41
surface water,Hainan,,2024,,Sulfamethazine (SMT),0.2,1.83,ng/L,N41
surface water,Hainan,,2024,,Sulfamethoxazole (SMX),5.01,20.47,ng/L,N41
surface water,Hainan,,2024,,Sulfamethoxydiazine (SMD),0.22,1.38,ng/L,N41
surface water,Hainan,,2024,,Sulfamonomethoxine (SMM),0.31,0.83,ng/L,N41
surface water,Hainan,,2024,,Sulfaquinoxaline (SQ),0.33,5.23,ng/L,N41
surface water,Hainan,,2024,,Sulfathiazole (ST),0.51,3.56,ng/L,N41
surface water,Hainan,,2024,,Trimethoprim (TMP),0.16,1.2,ng/L,N41
coastal water,Guangxi,,2018,,Sulfamethoxazole (SMX),0.09,7.43,ng/L,N42
surface water,Guangxi,Guangxi,2018,,Sulfamethoxazole (SMX),0.09,7.43,ng/L,N42
